response,rt,question_order,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,subject_id,study_id,session_id,subj_code,key_assignment,stimulus,success,task
"{""DesktopConf"":""I confirm""}",2950,[0],survey-multi-choice,0,1,0.0-0.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]",,,
o,522,,html-keyboard-response,1,3,0.0-1.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","<p style=""text-align:left;""><b>Welcome to the experiment!</b><br>
      <br>
      In this experiment, we will assess <b>reaction times</b>.<br>
      <br>
      Please only start the study if you are in a calm, distraction-free environment and will not be disturbed during the next <b>10 minutes</b>. Turn off any music, TV noise, etc.<br>
      <br>
      When you are ready, press any key to receive further information.",,
,,,fullscreen,2,5,0.0-2.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]",,true,
d,578,,html-keyboard-response,3,7,0.0-3.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","
        <p style=""text-align:left;"">
          <b>Instructions</b><br>
          <br>
          
          In this experiment, we will present you with several hypothetical rules, and with descriptions of people whose actions may or may not comply with these rules.<br>
          <br>

          In each case, your task will be to decide whether a person's action complied with the rule or not.<br> 
          <br>

          This will be indicated by pressing either the <b>e key</b> or the <b>i key</b> on your keyboard (further instruction will follow).<br>
          <br>

          Please try to make the decision <b>as quickly as possible.</b><br>
          <br>

          There will be <b>8 blocks</b> in this experiment, each block consisting of one rule and several examples of behaviours that may or may not comply with the rule.
          After each block, you will have the opportunity to take a short break.<br>
          <br>

          We expect the whole experiment to take around <b>10 minutes</b>.<br>
          <br>

          Before the actual experiment, there will be some practice trials to help you become familiar with the task.<br>  
          <br>

          Press any key to see further instructions.</p>
        ",,
l,715,,html-keyboard-response,4,8,0.0-4.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","
        <p style=""text-align:left;"">
          <b>Practice trials</b><br>
          <br>
          
          You will now have the opportunity to complete some practice trials to become familiar with the task.<br>
          <br>

          On the following page, a rule will be presented. Please read carefully and make sure you understand the rule before continuing.<br> 
          <br>

          Afterwards, several examples of behaviours will be shown that may or may not comply with the rule.<br>
          <br>

          Your task will be to indicate whether the person complied with the rule or not, by pressing either the <b>e key</b> or the <b>i key</b> on your keyboard.</b>
          Which key stands for which response will be indicated on screen, along with the examples of behaviours that we ask you to evaluate.
          The key assignment will remain the same throughout the whole experiment.<br>
          <br>

          During the practice trials, you are free to move through the example behaviours <b>at your own pace</b>.<br>
          <br>

          During the main experiment, however, we are going to ask you to respond <b>as quickly as possible</b>. There will be a <b>time limit of 8 seconds</b> to give a response.<br>
          <br>

          Press any key to start the practice trial.</p>
        ",,
t,556,,html-keyboard-response,5,10,0.0-5.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","<p style=""text-align:left;""><b>A university posted the following rule in a student dormitory: ""No noise after 10 pm"".</b><br>
     <br>
     On the following pages, we will show you several examples of behaviours that may or may not comply with the rule.<br>
     <br>
     Each action will be presented on a separate page.<br>
     <br>
     Press the assigned keys (shown alongside the described actions) to indicate whether or not the person complied with the rule.<br>
     <br>
     You can move through the pages at your own pace during these practice trials. During the main experiment, your task will be to answer as quickly as possible.<br>
     <br>
     Press any key to begin.",,
null,null,,html-keyboard-response,6,11,0.0-6.0-0.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","<div style=""font-size:60px;"">+</div>",,fixation
e,676,,html-keyboard-response,7,13,0.0-6.0-1.0,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student is knitting a scarf in his room at midnight.</b><br>",,response
null,null,,html-keyboard-response,8,14,0.0-6.0-0.1,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","<div style=""font-size:60px;"">+</div>",,fixation
i,596,,html-keyboard-response,9,16,0.0-6.0-1.1,6,1,2023-08-01 08:39:50,7de71ef55a0e0c7ef1c24111c453a554,134.76.51.242,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,,Firefox,115.0,Windows,10.0,,,,oYYjATzZSf1C,"[""<br>Did this person comply with the rule?<br><br><b>Press e for no&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for yes</b>""]","A university posted the following rule in a student dormitory:<br> ""No noise after 10 pm""<br><br><br><b>A student tests the maximum volume of her new TV at 11:30 pm.</b><br>",,response
