"subj_code","age","gender","handedness","comments"
"tXOJdR7kdH3Q","23","male","righthanded",""
"3VllGTKkTcqD","32","female","righthanded",""
"wJTXewKUeTZq","47","female","righthanded",""
"stBuRYp4gx5A","21","female","righthanded",""
"fw5KKWwVZrug","65","female","righthanded","none"
"ggbBQnpf3Mtj","24","female","righthanded","took awhile to get into the swing of it made a few mistakes at first"
"0avtKZmbwGy5","36","female","lefthanded","Doesnt leave much room for grey areas"
"DwV1c8OF61NX","25","male","righthanded",""
"EGqGfvKBQmEw","51","female","righthanded",""
"KQRQaOJp2Y9z","21","male","righthanded",""
"fuTxbTi41RLv","59","female","righthanded",""
"Sl4BhDPZAsb5","53","female","righthanded",""
"W5BoMp8egDIi","29","female","righthanded",""
"UHeDEKmkRG0s","27","male","righthanded",""
"tJrEu0qAjd3n","23","female","righthanded","no"
"ToLO0aM9jR2X","55","male","righthanded",""
"yMyeaIhNunxG","51","male","righthanded",""
"cSsO8BV15gpg","54","male","righthanded","no thank you"
"K0n2fgnFqVZW","20","male","righthanded",""
"EYor9MdsdwcS","45","male","righthanded","no"
"mfn6I6jFwzWf","20","male","righthanded",""
"cVLB0HOqDUeW","28","male","righthanded",""
"If1diWqOqiJ2","23","male","righthanded",""
"VNu44YAntnCZ","25","male","righthanded",""
"ibTJAWHhYeKA","37","male","righthanded",""
"oX7BWPBKZV7n","21","male","righthanded",""
"Y1GujK50pWIW","58","female","righthanded","I PANIC PUSHED A COUPLE OF TIMES "
"NDyNInTHYV6Q","28","male","righthanded",""
"x3igV7xlZWcT","44","male","righthanded",""
"JM9i27kCHnns","30","female","righthanded",""
"aqTIK5eRmGA8","24","male","righthanded",""
"9NY2dcmI0kt0","31","female","righthanded","Some of these felt morally subjective which was interesting so I went with my gut instinct "
"idj3Ig4ffMGL","28","male","lefthanded",""
"d6qTaQULpMyB","28","male","righthanded",""
"VAjCeZxdiqXu","33","male","righthanded",""
"C4vbd7YiiD5a","52","female","righthanded","That got harder"
"qpJN9WrTnut3","45","male","righthanded",""
"LecTuVk0nRz8","40","female","lefthanded",""
"hoQl1WiisuYv","28","male","righthanded",""
"dz5pt06BnQP8","37","female","righthanded",""
"MiwbMWixMBLW","29","male","righthanded",""
"frqTXOk390Rv","73","female","ambidextrous",""
"TCBkafjNWqYV","36","female","righthanded",""
"OpxBLZfqQ24J","28","female","righthanded",""
"5aNDYDuyyUaJ","22","female","ambidextrous","GOOD "
"qYdbSWPD2h8X","44","female","righthanded",""
"TR92dMGllkFH","24","male","righthanded",""
"VwxL3OgYwqkl","33","male","lefthanded",""
"ASm3nU7vZpS8","30","female","righthanded",""
"L1mPUrqHsPBq","54","female","righthanded",""
"eMCY274586qD","30","male","righthanded",""
"sVgQAIhvWmvJ","50","female","righthanded","NA"
"VmCNikx5Yymj","26","male","righthanded",""
"g3ae1MZLUMkj","22","male","righthanded",""
"W5bELoq2vFmX","35","female","righthanded",""
"GeqDJb1jMXdg","29","female","righthanded","no"
"8XtrxMzL9vm9","44","male","righthanded","Interesting study"
"VD3vwFzj2TBn","24","male","ambidextrous",""
"fSjJXLOkvKh4","43","male","lefthanded","Have a jolly nice day"
"V3uhX79f20h2","27","male","righthanded",""
"IC6b9bgp1wvx","19","female","righthanded",""
"NMklOlmOznTE","22","female","lefthanded","Some things i would have answered differently on a moral or ethical basis but i answered based on the literal statement outlined by the rule "
"IzaTJWhkFnaj","20","female","righthanded",""
"e3KYDFaVCz8H","27","female","righthanded",""
"Eg7eg5AU8DND","30","female","righthanded",""
"CRSzQUajjtCa","26","female","righthanded",""
"3ZVURO7TEj43","26","nonbinary","righthanded",""
"3DhouT1Y3uKY","57","male","righthanded",""
"8B4iLT61aitO","22","female","righthanded",""
"vzBWvlNQ6Ht9","26","female","lefthanded",""
"EesgYTYJVd3k","24","female","righthanded",""
"8OE33xtiA5BV","25","female","righthanded",""
"Hv0PEwc3oYXX","21","female","righthanded",""
"Gq0SazqdXPEb","36","female","righthanded",""
"wZnqRS9ioP47","19","female","righthanded",""
