"","subj_code","group","block","norm_trial","text","purpose","rt","response_num"
"1","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0102040816326531,1,0,2464,0
"2","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0204081632653061,0,0,3364,1
"3","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0306122448979592,1,0,2674,0
"4","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0408163265306122,0,1,3590,1
"5","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0510204081632653,1,1,2252,1
"6","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0612244897959184,0,1,2114,1
"7","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0714285714285714,1,0,3075,1
"8","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0816326530612245,0,0,2302,0
"9","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.0918367346938776,1,1,3851,1
"10","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.102040816326531,0,1,2088,1
"11","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.112244897959184,1,1,2056,1
"12","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.122448979591837,0,0,2158,0
"13","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.13265306122449,0,0,1940,0
"14","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.142857142857143,1,0,2125,1
"15","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.153061224489796,0,1,3011,0
"16","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.163265306122449,0,1,3349,0
"17","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.173469387755102,0,1,2338,0
"18","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.183673469387755,1,1,2936,1
"19","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.193877551020408,0,0,3912,0
"20","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.204081632653061,1,1,2180,1
"21","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.214285714285714,1,0,2183,1
"22","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.224489795918367,1,0,1428,1
"23","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.23469387755102,0,0,2117,0
"24","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.244897959183673,1,1,1583,1
"25","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.255102040816327,0,0,2859,0
"26","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.26530612244898,0,0,3310,0
"27","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.275510204081633,0,1,3072,0
"28","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.285714285714286,1,1,2594,1
"29","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.295918367346939,1,1,1346,1
"30","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.306122448979592,1,0,1433,1
"31","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.316326530612245,1,1,1375,1
"32","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.326530612244898,0,0,2729,0
"33","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.336734693877551,1,0,2406,1
"34","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.346938775510204,1,0,1151,1
"35","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.357142857142857,0,1,2341,1
"36","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.36734693877551,0,1,1488,0
"37","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.377551020408163,0,0,2881,0
"38","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.387755102040816,0,1,2554,0
"39","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.397959183673469,1,0,1756,1
"40","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.408163265306122,1,1,1525,1
"41","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.418367346938776,1,1,2839,0
"42","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.428571428571429,0,1,1818,0
"43","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.438775510204082,1,0,1409,1
"44","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.448979591836735,0,1,2830,0
"45","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.459183673469388,1,0,2573,1
"46","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.469387755102041,0,0,3000,0
"47","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.479591836734694,0,0,1669,0
"48","Nj3ZpaMpFs54","Experimental Block 1","Block 1",0.489795918367347,1,1,2496,1
"49","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0102040816326531,0,1,4892,1
"50","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0204081632653061,1,1,3702,1
"51","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0306122448979592,1,1,4695,1
"52","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0408163265306122,0,0,2866,0
"53","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0510204081632653,0,1,1967,1
"54","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0612244897959184,1,1,4595,1
"55","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0714285714285714,1,0,3151,0
"56","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0816326530612245,0,0,3130,1
"57","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.0918367346938776,1,0,4554,1
"58","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.102040816326531,1,0,2104,1
"59","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.112244897959184,0,1,2681,0
"60","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.122448979591837,0,0,3096,0
"61","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.13265306122449,0,1,5454,0
"62","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.142857142857143,1,1,2662,1
"63","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.153061224489796,1,1,2858,1
"64","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.163265306122449,1,0,4297,1
"65","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.173469387755102,1,1,1991,1
"66","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.183673469387755,1,0,3114,0
"67","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.193877551020408,0,0,2773,0
"68","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.204081632653061,0,1,4456,0
"69","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.214285714285714,0,0,2836,0
"70","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.224489795918367,1,0,3957,0
"71","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.23469387755102,0,1,4945,1
"72","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.244897959183673,0,0,3107,0
"73","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.255102040816327,1,1,4118,1
"74","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.26530612244898,1,1,4558,1
"75","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.275510204081633,0,1,2474,0
"76","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.285714285714286,1,0,4054,0
"77","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.295918367346939,0,0,3402,0
"78","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.306122448979592,0,0,3183,0
"79","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.316326530612245,0,1,3556,0
"80","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.326530612244898,1,0,4155,0
"81","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.336734693877551,0,1,2880,0
"82","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.346938775510204,1,1,2846,1
"83","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.357142857142857,0,0,3166,0
"84","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.36734693877551,1,0,4341,0
"85","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.377551020408163,1,0,3950,0
"86","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.387755102040816,1,0,5388,0
"87","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.397959183673469,0,0,3431,0
"88","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.408163265306122,1,1,2961,1
"89","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.418367346938776,0,0,2523,0
"90","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.428571428571429,1,1,3520,1
"91","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.438775510204082,0,1,3653,0
"92","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.448979591836735,1,0,2748,0
"93","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.459183673469388,1,0,5546,1
"94","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.469387755102041,0,1,4138,0
"95","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.479591836734694,0,1,5518,1
"96","jYfCVl0RZyAS","Experimental Block 1","Block 1",0.489795918367347,0,0,3637,0
"97","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0102040816326531,1,0,4594,1
"98","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0204081632653061,1,1,6334,0
"99","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0306122448979592,1,1,2694,1
"100","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0408163265306122,1,1,2186,0
"101","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0510204081632653,0,1,3938,1
"102","IuuBcTs2Vr8X","Experimental Block 1","Block 1",0.0612244897959184,0,0,3093,0
