"subj_code","block","stim_type","response","rt"
"RoqXsdd7kmV0","1","Incongruent",1,985
"RoqXsdd7kmV0","1","Congruent",1,658
"RoqXsdd7kmV0","1","Incongruent",1,618
"RoqXsdd7kmV0","1","Congruent",1,866
"RoqXsdd7kmV0","1","Incongruent",1,573
"RoqXsdd7kmV0","1","Congruent",1,545
"RoqXsdd7kmV0","1","Congruent",1,720
"RoqXsdd7kmV0","1","Incongruent",1,574
"RoqXsdd7kmV0","1","Congruent",1,468
"RoqXsdd7kmV0","1","Incongruent",1,508
"RoqXsdd7kmV0","1","Incongruent",1,595
"RoqXsdd7kmV0","1","Congruent",1,520
"RoqXsdd7kmV0","1","Congruent",1,534
"RoqXsdd7kmV0","1","Incongruent",1,574
"RoqXsdd7kmV0","1","Congruent",1,496
"RoqXsdd7kmV0","1","Incongruent",1,463
"RoqXsdd7kmV0","1","Congruent",1,463
"RoqXsdd7kmV0","1","Incongruent",1,525
"RoqXsdd7kmV0","1","Incongruent",1,474
"RoqXsdd7kmV0","1","Congruent",1,421
"RoqXsdd7kmV0","1","Incongruent",1,531
"RoqXsdd7kmV0","1","Congruent",1,459
"RoqXsdd7kmV0","1","Incongruent",1,496
"RoqXsdd7kmV0","1","Congruent",1,497
"RoqXsdd7kmV0","2","Congruent",1,484
"RoqXsdd7kmV0","2","Congruent",1,502
"RoqXsdd7kmV0","2","Incongruent",1,457
"RoqXsdd7kmV0","2","Incongruent",1,614
"RoqXsdd7kmV0","2","Incongruent",1,529
"RoqXsdd7kmV0","2","Incongruent",1,495
"RoqXsdd7kmV0","2","Congruent",1,473
"RoqXsdd7kmV0","2","Congruent",1,514
"RoqXsdd7kmV0","2","Congruent",1,484
"RoqXsdd7kmV0","2","Congruent",1,404
"RoqXsdd7kmV0","2","Incongruent",1,549
"RoqXsdd7kmV0","2","Incongruent",1,481
"RoqXsdd7kmV0","2","Incongruent",1,492
"RoqXsdd7kmV0","2","Congruent",1,452
"RoqXsdd7kmV0","2","Incongruent",1,490
"RoqXsdd7kmV0","2","Congruent",1,451
"RoqXsdd7kmV0","2","Incongruent",1,527
"RoqXsdd7kmV0","2","Incongruent",1,491
"RoqXsdd7kmV0","2","Congruent",1,545
"RoqXsdd7kmV0","2","Congruent",1,501
"RoqXsdd7kmV0","2","Incongruent",1,535
"RoqXsdd7kmV0","2","Congruent",1,440
"RoqXsdd7kmV0","2","Congruent",1,425
"RoqXsdd7kmV0","2","Incongruent",1,518
"RoqXsdd7kmV0","3","Incongruent",1,890
"RoqXsdd7kmV0","3","Congruent",1,543
"RoqXsdd7kmV0","3","Congruent",1,567
"RoqXsdd7kmV0","3","Incongruent",1,539
"RoqXsdd7kmV0","3","Congruent",1,471
"RoqXsdd7kmV0","3","Incongruent",1,553
"RoqXsdd7kmV0","3","Incongruent",1,508
"RoqXsdd7kmV0","3","Congruent",1,634
"RoqXsdd7kmV0","3","Congruent",1,441
"RoqXsdd7kmV0","3","Congruent",1,452
"RoqXsdd7kmV0","3","Incongruent",1,524
"RoqXsdd7kmV0","3","Incongruent",1,485
"RoqXsdd7kmV0","3","Congruent",1,448
"RoqXsdd7kmV0","3","Incongruent",1,497
"RoqXsdd7kmV0","3","Congruent",1,786
"RoqXsdd7kmV0","3","Incongruent",1,840
"RoqXsdd7kmV0","3","Incongruent",1,417
"RoqXsdd7kmV0","3","Incongruent",1,461
"RoqXsdd7kmV0","3","Congruent",1,437
"RoqXsdd7kmV0","3","Congruent",1,422
"RoqXsdd7kmV0","3","Incongruent",1,439
"RoqXsdd7kmV0","3","Congruent",1,478
"RoqXsdd7kmV0","3","Congruent",1,524
"RoqXsdd7kmV0","3","Incongruent",1,763
"RoqXsdd7kmV0","4","Incongruent",1,649
"RoqXsdd7kmV0","4","Congruent",1,738
"RoqXsdd7kmV0","4","Incongruent",1,494
"RoqXsdd7kmV0","4","Congruent",1,386
"RoqXsdd7kmV0","4","Congruent",1,377
"RoqXsdd7kmV0","4","Congruent",1,557
"RoqXsdd7kmV0","4","Incongruent",1,472
"RoqXsdd7kmV0","4","Incongruent",1,428
"RoqXsdd7kmV0","4","Congruent",1,392
"RoqXsdd7kmV0","4","Incongruent",1,561
"RoqXsdd7kmV0","4","Congruent",1,446
"RoqXsdd7kmV0","4","Incongruent",1,500
"RoqXsdd7kmV0","4","Congruent",1,466
"RoqXsdd7kmV0","4","Congruent",1,421
"RoqXsdd7kmV0","4","Incongruent",1,439
"RoqXsdd7kmV0","4","Incongruent",1,464
"RoqXsdd7kmV0","4","Congruent",1,513
"RoqXsdd7kmV0","4","Incongruent",1,504
"RoqXsdd7kmV0","4","Incongruent",1,911
"RoqXsdd7kmV0","4","Congruent",1,439
"RoqXsdd7kmV0","4","Incongruent",1,519
"RoqXsdd7kmV0","4","Incongruent",1,474
"RoqXsdd7kmV0","4","Congruent",1,417
"RoqXsdd7kmV0","4","Congruent",1,444
"5EZNV9BiS891","1","Incongruent",1,800
"5EZNV9BiS891","1","Congruent",1,621
"5EZNV9BiS891","1","Incongruent",1,632
"5EZNV9BiS891","1","Congruent",1,600
"5EZNV9BiS891","1","Congruent",1,530
"5EZNV9BiS891","1","Incongruent",1,733
"5EZNV9BiS891","1","Congruent",1,535
"5EZNV9BiS891","1","Incongruent",1,537
"5EZNV9BiS891","1","Congruent",1,523
"5EZNV9BiS891","1","Incongruent",1,599
"5EZNV9BiS891","1","Congruent",1,505
"5EZNV9BiS891","1","Incongruent",1,515
"5EZNV9BiS891","1","Incongruent",1,526
"5EZNV9BiS891","1","Congruent",1,507
"5EZNV9BiS891","1","Congruent",1,457
"5EZNV9BiS891","1","Incongruent",1,559
"5EZNV9BiS891","1","Congruent",1,489
"5EZNV9BiS891","1","Incongruent",1,586
"5EZNV9BiS891","1","Incongruent",1,602
"5EZNV9BiS891","1","Congruent",1,558
"5EZNV9BiS891","1","Incongruent",1,541
"5EZNV9BiS891","1","Congruent",1,575
"5EZNV9BiS891","1","Incongruent",1,551
"5EZNV9BiS891","1","Congruent",1,593
"5EZNV9BiS891","2","Congruent",1,585
"5EZNV9BiS891","2","Incongruent",1,564
"5EZNV9BiS891","2","Congruent",1,514
"5EZNV9BiS891","2","Incongruent",1,510
"5EZNV9BiS891","2","Congruent",1,524
"5EZNV9BiS891","2","Incongruent",1,570
"5EZNV9BiS891","2","Incongruent",1,579
"5EZNV9BiS891","2","Congruent",1,497
"5EZNV9BiS891","2","Congruent",1,466
"5EZNV9BiS891","2","Congruent",1,456
"5EZNV9BiS891","2","Incongruent",1,604
"5EZNV9BiS891","2","Incongruent",1,518
"5EZNV9BiS891","2","Congruent",1,322
"5EZNV9BiS891","2","Incongruent",0,340
"5EZNV9BiS891","2","Congruent",1,578
"5EZNV9BiS891","2","Incongruent",1,559
"5EZNV9BiS891","2","Incongruent",1,580
"5EZNV9BiS891","2","Incongruent",1,620
"5EZNV9BiS891","2","Congruent",1,560
"5EZNV9BiS891","2","Congruent",1,618
"5EZNV9BiS891","2","Incongruent",1,575
"5EZNV9BiS891","2","Incongruent",1,544
"5EZNV9BiS891","2","Congruent",1,558
"5EZNV9BiS891","2","Congruent",1,455
"5EZNV9BiS891","3","Congruent",1,475
"5EZNV9BiS891","3","Congruent",1,500
"5EZNV9BiS891","3","Incongruent",1,564
"5EZNV9BiS891","3","Incongruent",1,579
"5EZNV9BiS891","3","Congruent",1,509
"5EZNV9BiS891","3","Congruent",1,678
"5EZNV9BiS891","3","Incongruent",1,615
"5EZNV9BiS891","3","Incongruent",1,543
