"subj_code","block","stim_type","response","rt"
"RoqXsdd7kmV0","1","Congruent",1,1064
"RoqXsdd7kmV0","1","Incongruent",1,1071
"RoqXsdd7kmV0","1","Congruent",1,948
"RoqXsdd7kmV0","1","Incongruent",1,1103
"RoqXsdd7kmV0","1","Congruent",1,929
"RoqXsdd7kmV0","1","Incongruent",1,917
"RoqXsdd7kmV0","1","Incongruent",1,1124
"RoqXsdd7kmV0","1","Congruent",1,821
"RoqXsdd7kmV0","1","Congruent",1,749
"RoqXsdd7kmV0","1","Incongruent",1,898
"RoqXsdd7kmV0","1","Incongruent",1,943
"RoqXsdd7kmV0","1","Congruent",1,790
"RoqXsdd7kmV0","1","Incongruent",1,1022
"RoqXsdd7kmV0","1","Congruent",1,1099
"RoqXsdd7kmV0","1","Incongruent",1,853
"RoqXsdd7kmV0","1","Incongruent",1,695
"RoqXsdd7kmV0","1","Congruent",1,752
"RoqXsdd7kmV0","1","Congruent",1,873
"RoqXsdd7kmV0","1","Congruent",1,676
"RoqXsdd7kmV0","1","Congruent",1,874
"RoqXsdd7kmV0","1","Congruent",1,973
"RoqXsdd7kmV0","1","Incongruent",1,944
"RoqXsdd7kmV0","1","Incongruent",1,998
"RoqXsdd7kmV0","1","Incongruent",1,1421
"RoqXsdd7kmV0","2","Congruent",1,1489
"RoqXsdd7kmV0","2","Congruent",1,727
"RoqXsdd7kmV0","2","Congruent",1,728
"RoqXsdd7kmV0","2","Congruent",1,776
"RoqXsdd7kmV0","2","Congruent",1,805
"RoqXsdd7kmV0","2","Incongruent",1,935
"RoqXsdd7kmV0","2","Incongruent",1,911
"RoqXsdd7kmV0","2","Incongruent",1,843
"RoqXsdd7kmV0","2","Congruent",1,825
"RoqXsdd7kmV0","2","Congruent",1,786
"RoqXsdd7kmV0","2","Incongruent",1,987
"RoqXsdd7kmV0","2","Incongruent",1,830
"RoqXsdd7kmV0","2","Congruent",1,710
"RoqXsdd7kmV0","2","Congruent",1,778
"RoqXsdd7kmV0","2","Incongruent",1,1152
"RoqXsdd7kmV0","2","Incongruent",1,906
"RoqXsdd7kmV0","2","Congruent",1,778
"RoqXsdd7kmV0","2","Congruent",1,894
"RoqXsdd7kmV0","2","Incongruent",1,900
"RoqXsdd7kmV0","2","Incongruent",1,978
"RoqXsdd7kmV0","2","Incongruent",1,781
"RoqXsdd7kmV0","2","Incongruent",1,770
"RoqXsdd7kmV0","2","Congruent",1,1177
"RoqXsdd7kmV0","2","Incongruent",1,1127
"RoqXsdd7kmV0","3","Congruent",1,1010
"RoqXsdd7kmV0","3","Incongruent",1,974
"RoqXsdd7kmV0","3","Congruent",1,841
"RoqXsdd7kmV0","3","Congruent",1,654
"RoqXsdd7kmV0","3","Congruent",1,724
"RoqXsdd7kmV0","3","Congruent",1,796
"RoqXsdd7kmV0","3","Incongruent",1,1129
"RoqXsdd7kmV0","3","Congruent",1,747
"RoqXsdd7kmV0","3","Incongruent",1,746
"RoqXsdd7kmV0","3","Incongruent",1,818
"RoqXsdd7kmV0","3","Congruent",1,859
"RoqXsdd7kmV0","3","Congruent",1,671
"RoqXsdd7kmV0","3","Incongruent",1,825
"RoqXsdd7kmV0","3","Congruent",1,681
"RoqXsdd7kmV0","3","Incongruent",1,710
"RoqXsdd7kmV0","3","Incongruent",1,927
"RoqXsdd7kmV0","3","Incongruent",1,722
"RoqXsdd7kmV0","3","Incongruent",1,784
"RoqXsdd7kmV0","3","Incongruent",1,867
"RoqXsdd7kmV0","3","Congruent",1,744
"RoqXsdd7kmV0","3","Congruent",1,897
"RoqXsdd7kmV0","3","Congruent",1,805
"RoqXsdd7kmV0","3","Incongruent",1,764
"RoqXsdd7kmV0","3","Incongruent",1,1115
"RoqXsdd7kmV0","4","Incongruent",1,967
"RoqXsdd7kmV0","4","Incongruent",1,737
"RoqXsdd7kmV0","4","Incongruent",1,671
"RoqXsdd7kmV0","4","Congruent",1,674
"RoqXsdd7kmV0","4","Congruent",1,1056
"RoqXsdd7kmV0","4","Congruent",1,816
"RoqXsdd7kmV0","4","Incongruent",1,782
"RoqXsdd7kmV0","4","Congruent",1,664
"RoqXsdd7kmV0","4","Incongruent",1,693
"RoqXsdd7kmV0","4","Incongruent",1,753
"RoqXsdd7kmV0","4","Incongruent",1,853
"RoqXsdd7kmV0","4","Incongruent",1,879
"RoqXsdd7kmV0","4","Congruent",1,680
"RoqXsdd7kmV0","4","Congruent",1,859
"RoqXsdd7kmV0","4","Incongruent",1,768
"RoqXsdd7kmV0","4","Congruent",1,825
"RoqXsdd7kmV0","4","Congruent",1,747
"RoqXsdd7kmV0","4","Congruent",1,721
"RoqXsdd7kmV0","4","Incongruent",1,814
"RoqXsdd7kmV0","4","Congruent",1,733
"RoqXsdd7kmV0","4","Congruent",1,711
"RoqXsdd7kmV0","4","Incongruent",1,765
"RoqXsdd7kmV0","4","Congruent",1,1031
"RoqXsdd7kmV0","4","Incongruent",1,777
"5EZNV9BiS891","1","Incongruent",1,1160
"5EZNV9BiS891","1","Congruent",1,886
"5EZNV9BiS891","1","Incongruent",1,1308
"5EZNV9BiS891","1","Incongruent",1,1291
"5EZNV9BiS891","1","Incongruent",1,1068
"5EZNV9BiS891","1","Congruent",1,1259
"5EZNV9BiS891","1","Congruent",1,1220
"5EZNV9BiS891","1","Congruent",1,1071
"5EZNV9BiS891","1","Congruent",1,1030
"5EZNV9BiS891","1","Incongruent",1,1048
"5EZNV9BiS891","1","Incongruent",1,925
"5EZNV9BiS891","1","Incongruent",1,1360
"5EZNV9BiS891","1","Congruent",1,1186
"5EZNV9BiS891","1","Incongruent",1,1022
"5EZNV9BiS891","1","Congruent",1,1041
"5EZNV9BiS891","1","Congruent",1,856
"5EZNV9BiS891","1","Incongruent",1,989
"5EZNV9BiS891","1","Congruent",1,1082
"5EZNV9BiS891","1","Congruent",1,1407
"5EZNV9BiS891","1","Incongruent",1,981
"5EZNV9BiS891","1","Congruent",0,1580
"5EZNV9BiS891","1","Incongruent",1,1410
"5EZNV9BiS891","1","Congruent",1,948
"5EZNV9BiS891","1","Incongruent",1,1245
"5EZNV9BiS891","2","Congruent",1,916
"5EZNV9BiS891","2","Incongruent",1,1009
"5EZNV9BiS891","2","Incongruent",1,855
"5EZNV9BiS891","2","Incongruent",1,847
"5EZNV9BiS891","2","Congruent",1,1122
"5EZNV9BiS891","2","Incongruent",1,1117
"5EZNV9BiS891","2","Incongruent",1,1372
"5EZNV9BiS891","2","Congruent",1,777
"5EZNV9BiS891","2","Congruent",1,854
"5EZNV9BiS891","2","Incongruent",1,954
"5EZNV9BiS891","2","Congruent",1,954
"5EZNV9BiS891","2","Congruent",1,667
"5EZNV9BiS891","2","Congruent",1,755
"5EZNV9BiS891","2","Incongruent",1,975
"5EZNV9BiS891","2","Congruent",1,728
"5EZNV9BiS891","2","Incongruent",1,703
"5EZNV9BiS891","2","Congruent",1,905
"5EZNV9BiS891","2","Congruent",1,629
"5EZNV9BiS891","2","Incongruent",1,638
"5EZNV9BiS891","2","Congruent",1,1010
"5EZNV9BiS891","2","Incongruent",1,1267
"5EZNV9BiS891","2","Incongruent",1,820
"5EZNV9BiS891","2","Incongruent",1,796
"5EZNV9BiS891","2","Congruent",1,772
"5EZNV9BiS891","3","Incongruent",1,898
"5EZNV9BiS891","3","Congruent",1,865
"5EZNV9BiS891","3","Incongruent",1,851
"5EZNV9BiS891","3","Congruent",1,648
"5EZNV9BiS891","3","Congruent",1,965
"5EZNV9BiS891","3","Congruent",1,611
"5EZNV9BiS891","3","Congruent",1,976
"5EZNV9BiS891","3","Congruent",0,638
"5EZNV9BiS891","3","Incongruent",1,1331
"5EZNV9BiS891","3","Congruent",1,858
"5EZNV9BiS891","3","Incongruent",1,782
"5EZNV9BiS891","3","Incongruent",1,1094
"5EZNV9BiS891","3","Incongruent",1,1068
"5EZNV9BiS891","3","Incongruent",1,919
"5EZNV9BiS891","3","Congruent",1,741
"5EZNV9BiS891","3","Congruent",1,611
"5EZNV9BiS891","3","Incongruent",1,1759
"5EZNV9BiS891","3","Incongruent",1,787
"5EZNV9BiS891","3","Congruent",1,537
"5EZNV9BiS891","3","Incongruent",1,1070
"5EZNV9BiS891","3","Congruent",1,681
"5EZNV9BiS891","3","Incongruent",1,1006
"5EZNV9BiS891","3","Congruent",1,963
"5EZNV9BiS891","3","Incongruent",1,696
"5EZNV9BiS891","4","Congruent",1,1211
"5EZNV9BiS891","4","Congruent",1,1233
"5EZNV9BiS891","4","Incongruent",1,1884
"5EZNV9BiS891","4","Incongruent",1,864
"5EZNV9BiS891","4","Congruent",1,808
