,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1),3.0737333723544387,0.06449059309189588,2.9542570613606345,3.0291803775738266,3.073042582418534,3.116443921662393,3.204309693408173,0.003344277612480513
a(2),2.972720370200892,0.06546109373639396,2.8444437315509705,2.92963771539626,2.9717145666495295,3.0166483323551856,3.099662511634013,0.0037749841978891993
a(3),2.943684702350196,0.06416402103985738,2.8279650507411205,2.8984481091881857,2.941617281731866,2.9846193008245283,3.082767499683883,0.0037078646808419657
a(4),2.935496553978324,0.06545744102642255,2.807620280691429,2.890072866804146,2.9342807258130374,2.980153353110297,3.064251491221374,0.0036685166115997107
a_std,0.2892163727040226,0.03841590372161031,0.21162120340714913,0.26452345474386546,0.28778159532095743,0.3145100951900387,0.3698434959804572,0.002954489001277423
a_subj(1).00wnwvwLHBIk,3.174145241362474,0.2654516654483444,2.683477020940336,2.9966205889804622,3.16493750644004,3.3402061949502313,3.7354563993981738,0.008537194848976805
a_subj(1).0ALnIzl1ydE6,3.270555956107606,0.2514504879502507,2.8227171380526515,3.0955053811777513,3.253369403450847,3.42225365871581,3.8208646851912866,0.008134831376074347
a_subj(1).0GabPL5vHH8P,3.090292204036514,0.23777441437033647,2.6516752815820235,2.922812375512631,3.0772843247082555,3.2535591923484515,3.567062809244508,0.007456871490918467
a_subj(1).0VVhHyPBOh8x,2.857762965197188,0.2618808119357172,2.3593581498066603,2.6753247624654724,2.8475964667085365,3.0272371519761325,3.3971508596440234,0.009362936502580922
a_subj(1).1YT4qLD19kvV,2.810257665201905,0.24188348186713354,2.3529353999013454,2.6487582487416566,2.80406072741526,2.976834956590103,3.2990412303586325,0.008779252309185574
a_subj(1).38HjYDEebF7Q,3.0165011033669806,0.2419314595503828,2.564833952632261,2.8502284798168294,3.011639112350645,3.1696672189543547,3.5400899967761257,0.007410649892066956
a_subj(1).3m9MitiUNkLe,3.2668769796120345,0.28875947580551975,2.7320387103326347,3.0705138626151127,3.2513283176793886,3.447247549814053,3.8509046574766783,0.008944820847641343
a_subj(1).568OcVLCD0h4,3.0573433729771677,0.24949373340229938,2.5846767944629683,2.885235647340063,3.0402784542765287,3.2232517102414375,3.5800035055159083,0.008318707710047002
a_subj(1).5E741EFf1D68,3.163483262924657,0.26849021307622506,2.6477745999482174,2.989370839850091,3.162351842354872,3.3324378341857264,3.719807481730128,0.008101574121347672
a_subj(1).6xP2E90cGY7d,2.968337447129916,0.23256901453387138,2.5465246816371945,2.8030813634293166,2.9546853683075875,3.1247393230799654,3.4328942982573034,0.006106817316465642
a_subj(1).8DgoXYZI05ZJ,3.0176479123767255,0.23627040660280835,2.580319750476978,2.859177536012348,3.0108479125647585,3.163317422373148,3.5232158188909235,0.00688116877851337
a_subj(1).8LhlcQz7sD9E,2.949840738860016,0.26022704245245126,2.483245402377676,2.771833582241498,2.9368776020636815,3.111637982026984,3.5532283470328627,0.009497500626582583
a_subj(1).8Ym9I2KtvcUQ,3.0631785556856332,0.24661819432612683,2.6210162619196717,2.898684908258351,3.045818760700808,3.221052185868506,3.611474065934256,0.007289095263198664
a_subj(1).8jdRn0wiVZIJ,3.019906137135414,0.2435721642393405,2.574807871853195,2.844095103052637,3.0127733328791177,3.1874967194651784,3.52115851163412,0.0076529724362443
a_subj(1).8q2Uy2Q70plH,3.0109324284540486,0.23910510192849999,2.5868792139309615,2.8466570173791217,3.0033738564727352,3.1643957628733754,3.523228677626637,0.007584449294187112
a_subj(1).ALbe7y6EHaM1,2.721393382146213,0.29917023976378015,2.1486741142777013,2.5126662298567424,2.714308624534942,2.9273451607144523,3.2729726259104224,0.015240419342451277
a_subj(1).Bu35lM8ZMH2V,2.887826326189105,0.24642029894147732,2.4286195272514317,2.717424027375787,2.8754282605267987,3.0579770002625635,3.361925229137535,0.008268948221056232
a_subj(1).Bz45IxAK5fjO,2.974465900326614,0.23369758395744106,2.542214707857708,2.8157850196550003,2.968479829446824,3.122595575971622,3.470700410143576,0.008186201183867777
a_subj(1).CW4cYd1QYeU1,3.2261765580738184,0.2533225862315969,2.752476438165892,3.051429211783364,3.2163557282325286,3.3879043886738502,3.734794524804311,0.008184612844890516
a_subj(1).Erj2vLkrFRFK,2.813509322245589,0.2574811082903061,2.315257010233477,2.6355958496320997,2.811430215786401,2.9810990398878765,3.308812166934176,0.00955055006557876
a_subj(1).FNFg4qd24uNy,2.8761285657677003,0.2414759708701547,2.405085841848587,2.712611861493111,2.875889869856068,3.0378709674869633,3.3442773823431287,0.007891624562207478
a_subj(1).G6HbAL5CKckH,3.1162611351495433,0.23593012213226403,2.677206268879875,2.945289901770184,3.11667871087373,3.2721904243226283,3.5960234406630374,0.0064947229479213105
a_subj(1).HJgtd5UpWefA,3.0248457203894175,0.23274826894601805,2.5871608744528958,2.8671462864976505,3.013673409103227,3.1793181381132882,3.503836335239899,0.007326269420561311
a_subj(1).JXwtQfYRmdlb,3.152001562215511,0.2530099287930975,2.6761641578959177,2.987286934771793,3.146933838573845,3.302999359656905,3.6852239640841233,0.008855853062727232
a_subj(1).Jm9VG9LqGvAY,3.0854208501907823,0.24680804805980525,2.6441117280825392,2.905449674671841,3.0786565072339016,3.244234963448873,3.588274346184275,0.007965831816744155
a_subj(1).KOP4RVWbQg5t,3.2215280798738006,0.25392135606435867,2.75511618487576,3.0478297579881874,3.207292926263166,3.390361721237752,3.745332430176839,0.008429556325136693
a_subj(1).KhkKnvIk9rxi,2.8669512301406206,0.2568398799661474,2.3717332723671305,2.6899202899948502,2.8667033823208135,3.034627818642725,3.389163269423235,0.009052695814055243
