rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_id,session_id,subj_code,key_assignment,order_assignment,condition_assignment,instr_tests,success,question_order,task,color,text,correct_response,correct,flanker_stim_type,direction
41727,"<h1>Welcome to the experiment!</h1><br>
      <p style=""text-align:left;"">The experiment is made up of <b> three different tasks</b>: RULES, COLORS, and ARROWS.<br>
      On every task, you will be asked to decide as quickly as possible, by pressing a button.<br>
      <br>
      You will need a <b>physical keyboard</b> to participate.<br>
      <br>
      Please only start the study if you are in a calm, distraction-free environment and will not be disturbed during the next <b>16 minutes</b>.<br>
      <br>
      Turn off any music, TV noise, etc.<br>
      <br>
      As stated on Prolific, the remainder of this experiment is <b>incompatible with the Safari browser.</b><br>
      If you are using the Safari browser, please return the survey now (or transfer this tab to a different browser, if possible).<br></p>
      <br><br>
      <p style=""font-size:20px;"">Press any key to receive further information.</p>"," ",html-keyboard-response,0,41732,0.0-0.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,,,,,,,
5529,,,fullscreen,1,48275,0.0-1.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,true,,,,,,,,
36899,,"{""theory_question"":""To abide by the law, one must focus on the letter of the law. So, when someone acts in a way that conflicts with a rule<span>'</span>s text (what it literally says), then that person has broken the rule.""}",survey-multi-choice,2,85181,0.0-2.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,[0],,,,,,,
39870,,"{""theory_question_bipolar"":5}",survey-likert,3,125059,0.0-3.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,[0],,,,,,,
75673,"<h1>The COLORS Task Tutorial</h1><br>
  <p style=""text-align:left;"">In the COLORS task, a series of words will appear in the center of the screen.<br>
  <br>
  When the word appears, you are asked to respond with the <strong>color</strong> in which the word is printed <b>as quickly as you can.</b><br>
  <br>
  Press <strong>R</strong> for <span style=""color: red"">red</span>, <strong>G</strong> for <span style=""color: green"">green</span>, <strong>Y</strong> for <span style=""color: yellow"">yellow</span> and <strong>B</strong> for <span style=""color: blue"">blue</span>.</p>
  <p style=""text-align:left;"">For example, if the word <span style=""color: blue"">red</span> appears printed in blue, the right answer is the letter B, <strong>not</strong> the letter R.</p>
  <br>
    <p style=""font-size:20px;"">If you have understood the above instructions, press any key to proceed.</p>"," ",html-keyboard-response,4,200736,0.0-4.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,,,,,,,
14514,,"{""goal_check"":""press the letter that matches the color the word is printed in (G for green)""}",survey-multi-choice,5,215256,0.0-5.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,[0],,,,,,,
null,"<div style=""font-size:60px;"">+</div><span style=""font-size: 1px; color: #ffffff; position: absolute; left: -9999px;"" >
      Press the letter Z on your keyboard.</span>",null,html-keyboard-response,6,215514,0.0-7.0-0.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,fixation,,,,,,
1611,"<p style=""font-size:30px; color:blue;""><b>blue</b></p>",b,html-keyboard-response,7,217129,0.0-7.0-1.0,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,,,,,,,
null,"<div style=""font-size:60px;"">+</div><span style=""font-size: 1px; color: #ffffff; position: absolute; left: -9999px;"" >
      Press the letter Z on your keyboard.</span>",null,html-keyboard-response,8,217385,0.0-7.0-0.1,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,fixation,,,,,,
1786,"<p style=""font-size:30px; color:red;""><b>blue</b></p>",r,html-keyboard-response,9,219173,0.0-7.0-1.1,1,1,2025-04-18 09:07:24,abcbb6d8712eea8b64f0e9e1a7622972,168.235.146.42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",WebKit,Chrome,134.0.0.0,Windows,10.0,https://i4rje6kfld.cognition.run//?PROLIFIC_PID=67e830ca30341c682400cbff&STUDY_ID=680215178cb1e2d1ad74f47e&SESSION_ID=6802162cec03e2d7bbb1bc10,"en-US,en;q=0.9",67e830ca30341c682400cbff,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,680215178cb1e2d1ad74f47e,6802162cec03e2d7bbb1bc10,43h1177ZvqZU,"[""<br>Did this person violate the rule?<br><br><b>Press e for yes&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Press i for no</b>""]",Before,Experimental,1,,,,,,,,,
