"subj_code","age","gender","handedness","comments"
"Nj3ZpaMpFs54","75","male","ambidextrous","no"
"jYfCVl0RZyAS","27","male","lefthanded",""
"IuuBcTs2Vr8X","44","male","lefthanded","Im left handed at some things right handed at others not ambidextrous mixed handedcrossdominance its never on the list Thank you for the study "
"UZfVGGPxiyRz","26","male","lefthanded","nothing to declare"
"R2CDc0OKtxpg","41","female","righthanded",""
"Gu2Lyq94PJhu","31","male","righthanded","no"
"EJW7lTCUwgCP","47","male","righthanded",""
"rkuEBSItXouZ","55","female","righthanded",""
"mVmeNMqwHaIC","38","male","righthanded",""
"oIVn57ddmazE","56","female","righthanded",""
"ILgQw0xD0kAA","32","male","righthanded",""
"vOf9N6nbkDp5","51","male","righthanded",""
"QeObdltRQEny","52","female","righthanded",""
"g07Nd9DGExJn","23","female","righthanded",""
"4T5SuQX7MrQo","34","male","lefthanded",""
"6IEZT72kXl7M","34","male","righthanded","Everything was okay"
"ACgg0uqjMJq6","35","male","righthanded","no"
"OlpT1s4BnPT4","53","female","righthanded","Good study"
"qRnQ37IUhsmS","29","male","righthanded","No"
"oFxsXVWG4lZb","33","female","righthanded","no comments"
"1l7f01a2bct0","50","female","righthanded",""
"WuFbFK8a0Nvz","33","male","righthanded",""
"w8s8niNep8rH","30","female","righthanded","No"
"P8RzZCWr2XhB","38","female","lefthanded",""
"D63Qiy5Gw9bJ","37","male","righthanded",""
"YYqR5MUvatvw","50","male","righthanded",""
"GZVZeTXUn8Xm","34","male","lefthanded",""
"hlVMJLRdcZ2f","62","female","righthanded",""
"CN0xmVj4Wicu","34","male","righthanded",""
"ae6qUFXd0hBD","56","male","ambidextrous",""
"7Ugdx0lsFxUG","28","female","righthanded",""
"wDIgeWMZdRIk","18","male","righthanded",""
"zbqpUFsWoQce","51","female","righthanded","Thank you for the good work"
"aO7wOsIOe7N0","31","female","lefthanded","No"
"I9WrYDcI3Hap","55","male","righthanded","no but this was an AWESOME study Thank You"
"DbZ08eZAHme9","46","male","lefthanded","Thank you so much"
"YeMbBnQ4o3O7","19","male","righthanded",""
"WDz6rhMzkDbT","66","male","righthanded","Thanks for the opportunity to participate"
"aSK5mtaFj421","55","male","righthanded",""
"ILCtZSDFjmYg","34","female","righthanded",""
"47Y9w1hVl1UC","60","female","righthanded",""
"Ku4P8QvpmjDx","32","female","righthanded","no"
"685aA6uUW1fo","31","male","righthanded",""
"PtcGsHbS7aNk","30","male","righthanded","no comments"
"X0xdfQ1WJbYQ","55","female","righthanded","No comment"
"TRP7lc2ojopa","51","male","righthanded","its was pretty  tricky"
"LP2E5Ju1a1te","35","female","righthanded","thank you"
"cynZ2eAWJ4hD","25","male","righthanded",""
"Umpmxvqq5skj","44","female","righthanded","no"
"GgCHnSTclVih","72","male","righthanded",""
"NG3V6ZHv0KAu","35","male","lefthanded",""
"hFD7OyG8N5DW","40","male","righthanded","None"
"W9Q8kUm7mSZX","33","male","righthanded","no"
"N2OrPC9UPGXl","32","female","righthanded",""
"W31xvRtHVVdX","27","male","righthanded",""
"HZ27CFsx6chO","54","female","righthanded",""
"ifGhaPItHhml","26","female","righthanded","NA"
"ZV6AnqpFXRcH","69","female","righthanded","no"
