"run_id","PROLIFIC_PID","rule","text","purpose","condition","congruency","rt","response_num"
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","4038",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","4039",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","3444",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","2584",0
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","4480",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","2222",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","2958",0
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","2245",1
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","5321",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","1690",0
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","2466",1
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","2842",1
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","2899",1
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","2686",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","3887",1
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","2271",0
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","1868",0
1,"5d88db42c1d06e001a1fdcab","phones",0,1,"Control","Control","2264",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","1542",0
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","1597",1
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","1577",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","2243",0
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","1766",1
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","1528",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","4416",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","3994",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","3480",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,1,"Control","Control","2751",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","2061",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","2388",1
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","2497",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","3053",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","1866",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","2115",1
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","2911",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,1,"Control","Control","2922",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","2414",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","3594",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","1879",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","2211",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","2738",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","1378",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","1668",0
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","1345",0
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","978",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","1871",1
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","2751",1
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","2294",1
100,"62850d0754941f925e1af397","dogs",0,1,"Control","Control","4611",1
100,"62850d0754941f925e1af397","dogs",1,0,"Control","Control","3874",0
100,"62850d0754941f925e1af397","dogs",0,1,"Control","Control","2493",1
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","5526",0
100,"62850d0754941f925e1af397","dogs",1,1,"Control","Control","4777",1
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","3131",0
100,"62850d0754941f925e1af397","dogs",1,1,"Control","Control","1929",1
100,"62850d0754941f925e1af397","dogs",1,0,"Control","Control","1812",0
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","2912",0
100,"62850d0754941f925e1af397","dogs",1,0,"Control","Control","2509",0
100,"62850d0754941f925e1af397","dogs",1,1,"Control","Control","3898",1
100,"62850d0754941f925e1af397","dogs",0,1,"Control","Control","2848",1
