"dv","iv","coefficient","lowerCI","upperCI","t.val.","d.f.","p"
"violation","(Intercept)",2481.753,2269.079,2694.428,22.871,11.964,0
"violation","text",751.061,694.303,807.818,25.936,11190.986,0
"violation","purpose",437.703,381.002,494.404,15.13,11190.962,0
"violation","text:purpose",-1154.21,-1234.462,-1073.958,-28.189,11190.98,0
"compliance","(Intercept)",2531.471,2297.913,2765.03,21.243,13.119,0
"compliance","text",660.731,604.391,717.07,22.986,11532.057,0
"compliance","purpose",441.782,385.653,497.912,15.426,11532.168,0
"compliance","text:purpose",-1124.993,-1204.514,-1045.471,-27.728,11532.116,0
"punishment","(Intercept)",2647.745,2449.363,2846.127,26.159,18.489,0
"punishment","text",727.025,668.743,785.308,24.449,11332.943,0
"punishment","purpose",539.71,481.433,597.986,18.152,11332.929,0
"punishment","text:purpose",-1235.122,-1317.518,-1152.727,-29.38,11332.956,0
