"study","term","mean","X2.5q","X97.5q"
"study1a","a",3.16,3.08,3.25
"study1a","v (compliance)",-1.18,-1.26,-1.11
"study1a","v (literal compliance)",0.23,0.16,0.3
"study1a","v (literal violation)",-0.52,-0.59,-0.45
"study1a","v (violation)",1.02,0.94,1.09
"study1a","t (compliance)",1.03,0.96,1.1
"study1a","t (literal compliance)",1.17,1.1,1.25
"study1a","t (literal violation)",1.01,0.94,1.08
"study1a","t (violation)",1.05,0.98,1.11
"study1a","z",0.54,0.52,0.54
"study1b","a",3.23,3.11,3.36
"study1b","v (compliance)",1.13,1.05,1.22
"study1b","v (literal compliance)",-0.36,-0.44,-0.28
"study1b","v (literal violation)",0.55,0.47,0.62
"study1b","v (violation)",-1.03,-1.11,-0.95
"study1b","t (compliance)",1.04,0.97,1.12
"study1b","t (literal compliance)",1.12,1.04,1.2
"study1b","t (literal violation)",1.02,0.94,1.1
"study1b","t (violation)",1.07,1,1.15
"study1b","z",0.46,0.45,0.47
"study1c","a",3.07,2.99,3.15
"study1c","v (compliance)",-1.16,-1.24,-1.08
"study1c","v (literal compliance)",-0.23,-0.3,-0.16
"study1c","v (literal violation)",-0.11,-0.18,-0.04
"study1c","v (violation)",0.9,0.82,0.97
"study1c","t (compliance)",1.16,1.09,1.24
"study1c","t (literal compliance)",1.37,1.29,1.45
"study1c","t (literal violation)",1.22,1.14,1.3
"study1c","t (violation)",1.17,1.1,1.25
"study1c","z",0.54,0.53,0.55
