"study","variable","rhat","ess_bulk","ess_tail"
"1a","a",1,1474.37,2615.94
"1b","a",1,1517.34,2419.51
"1c","a",1,1938.62,2912.78
"1a","t(0.0.0.0)",1.01,1132.69,2292.01
"1b","t(0.0.0.0)",1,1795.83,2341.23
"1c","t(0.0.0.0)",1,1599.37,2638.41
"1a","t(0.0.1.0)",1,1678.52,2516.85
"1b","t(0.0.1.0)",1,2232.32,2779.98
"1c","t(0.0.1.0)",1,2108.52,2731.58
"1a","t(1.0.0.0)",1,2032.49,2619.35
"1b","t(1.0.0.0)",1,2231.87,2715.98
"1c","t(1.0.0.0)",1,1977.61,2682.99
"1a","t(1.0.1.0)",1.01,1895.66,2731.1
"1b","t(1.0.1.0)",1,2727.42,2715.79
"1c","t(1.0.1.0)",1,1551.64,2752.53
"1a","v(0.0.0.0)",1.01,262.5,2466.05
"1b","v(0.0.0.0)",1,1869.34,2756.17
"1c","v(0.0.0.0)",1,959.25,1934.36
"1a","v(0.0.1.0)",1.01,485.53,1657.23
"1b","v(0.0.1.0)",1,1409.05,2465.79
"1c","v(0.0.1.0)",1.01,195.43,2160.13
"1a","v(1.0.0.0)",1.01,302.16,1874.86
"1b","v(1.0.0.0)",1,1722.77,2721.78
"1c","v(1.0.0.0)",1,471.54,2394.39
"1a","v(1.0.1.0)",1.01,495.62,1038.77
"1b","v(1.0.1.0)",1,1542.01,2519.15
"1c","v(1.0.1.0)",1.01,462.78,1796.64
"1a","z_trans",1.22,3.66,27.2
"1b","z_trans",1,64.05,150.5
"1c","z_trans",1.06,11.09,65.19
