"subj_code","condition","block_number","case","mode","trial_index","stimulus","text_violation","purpose_violation","stim_type","yes_key","response","response_num","rt","correct_response","wrong_answer"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",34,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and shoots a deer.</b><br>",1,1,"congruent","i","yes",1,5590,"yes","e"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",37,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches and kills a lone baby deer with a hunting knife.</b><br>",0,1,"incongruent","i","yes",1,2443,"","null"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",40,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman enters a wildlife reserve where she shoots two deer.</b><br>",1,1,"congruent","i","yes",1,2189,"yes","e"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",43,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer shoots a deer to end its suffering after it was run over.</b><br>",1,0,"incongruent","i","no",0,NA,"","null"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",46,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A woman hikes in the woods carrying a flashlight and a lunch box.</b><br>",0,0,"congruent","i","no",0,1917,"no","i"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",49,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man heads deep into the local forest and sees several deer.</b><br>",0,0,"congruent","i","no",0,1952,"no","i"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",52,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man catches a deer using a trap and gives it a lethal injection.</b><br>",0,1,"incongruent","i","no",0,1763,"","null"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",55,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A farmer sprays poison in his woodland to kill the local deer.</b><br>",0,1,"incongruent","i","no",0,2094,"","null"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",58,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hunter, armed with a rifle, fires on the first deer he sees.</b><br>",1,1,"congruent","i","yes",1,2222,"yes","e"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",61,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A man takes a walk in the park and photographs the deer there.</b><br>",0,0,"congruent","i","no",0,1689,"no","i"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",64,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A vet shoots a deer with a disease that threatens the whole herd.</b><br>",1,0,"incongruent","i","no",0,3337,"","null"
"SNSAAiEamlZV","accuracy_speed",1,"deer","acc",67,"To protect the deer population, parliament enacts a law: ""It is an offense to shoot deer""<br><br><br><b>A hiker finds a dying deer and shoots it to relieve its pain.</b><br>",1,0,"incongruent","i","no",0,4008,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",72,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A motorcycle courier takes a shortcut through the park.</b><br>",0,1,"incongruent","i","no",0,4013,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",75,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A man drives a tow-truck slowly into the park to remove a car.</b><br>",1,0,"incongruent","i","no",0,5634,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",78,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A taxi driver takes a shortcut through the park to save time.</b><br>",1,1,"congruent","i","yes",1,2965,"yes","e"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",81,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person test-drives their new car through the park at noon.</b><br>",1,1,"congruent","i","yes",1,1721,"yes","e"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",84,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper parks a truck in the park to remove a tree.</b><br>",1,0,"incongruent","i","yes",1,5347,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",87,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>An artist installs a race car in the park to honour local heroes.</b><br>",1,0,"incongruent","i","no",0,5861,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",90,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A group of friends cycle through the park on a beer bike.</b><br>",0,1,"incongruent","i","no",0,2412,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",93,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A couple walk their new baby through the park in a stroller.</b><br>",0,0,"congruent","i","no",0,1700,"no","i"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",96,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A landscaper pushes a grey wheelbarrow through the park.</b><br>",0,0,"congruent","i","no",0,1611,"no","i"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",99,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A red party limo drives through the park at the DJ's request.</b><br>",1,1,"congruent","i","yes",1,2323,"yes","e"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",102,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person speeds through the park on their electric scooter.</b><br>",0,1,"incongruent","i","no",0,1632,"","null"
"SNSAAiEamlZV","accuracy_speed",2,"cars","acc",105,"To avoid accidents, the local authority issued a rule: ""No cars are allowed inside the park""""<br><br><br><b>A person jogs through the park to get some daily exercise.</b><br>",0,0,"congruent","i","no",0,1109,"no","i"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",110,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays on his tablet instead of paying attention in class.</b><br>",0,1,"incongruent","i","yes",1,3551,"","null"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",113,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student arrives early to class and takes out her pencil case.</b><br>",0,0,"congruent","i","no",0,2100,"no","i"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",116,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student consults the textbook to answer a question in class.</b><br>",0,0,"congruent","i","no",0,1318,"no","i"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",119,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student messages friends on his laptop and pays no attention.</b><br>",0,1,"incongruent","i","no",0,4268,"","null"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",122,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses his phone's calculator for the in-class assignment.</b><br>",1,0,"incongruent","i","yes",1,4859,"","null"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",125,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student texts friends on her phone and pays no attention.</b><br>",1,1,"congruent","i","yes",1,3012,"yes","e"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",128,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student plays a game on his phone instead of paying attention.</b><br>",1,1,"congruent","i","yes",1,1699,"yes","e"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",131,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student takes notes by hand to help her understand a lesson.</b><br>",0,0,"congruent","i","no",0,2777,"no","i"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",134,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student uses her phone as a paperweight to keep papers together.</b><br>",1,0,"incongruent","i","no",0,2107,"","null"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",137,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A diabetic student gets an alert on her phone to take her insulin.</b><br>",1,0,"incongruent","i","no",0,3233,"","null"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",140,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student browses her phone instead of following her lesson.</b><br>",1,1,"congruent","i","yes",1,2764,"yes","e"
"SNSAAiEamlZV","accuracy_speed",3,"phones","acc",143,"To get students to pay attention in class, the headmaster announced:<br> ""Phones may not be used in the classroom""<br><br><br><b>A student reads news on her tablet and doesn't follow the lesson.</b><br>",0,1,"incongruent","i","yes",1,2823,"","null"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",148,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man re-parks his car in the cul-de-sac to let a guest out.</b><br>",0,0,"congruent","i","no",0,2926,"no","i"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",151,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A drunk man drives his wife to the hospital as she goes into labor.</b><br>",1,0,"incongruent","i","yes",1,2936,"","null"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",154,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A sober man rides his motorcycle home after playing board games.</b><br>",0,0,"congruent","i","no",0,1416,"no","i"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",157,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking soda at the movie theater.</b><br>",0,0,"congruent","i","no",0,1816,"no","i"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",160,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A woman drives home after drinking whiskey at the movie theater.</b><br>",1,1,"congruent","i","yes",1,1891,"yes","e"
"SNSAAiEamlZV","accuracy_speed",4,"alcohol","acc",163,"To reduce traffic accidents, a zero tolerance law is passed:<br> ""Driving with any trace of alcohol is strictly forbidden""<br><br><br><b>A person drives to work after using alcohol-based mouthwash.</b><br>",1,0,"incongruent","i","no",0,3786,"","null"
