"subj_code","age","gender","handedness","comments"
"RoqXsdd7kmV0","27","female","lefthanded",""
"5EZNV9BiS891","27","male","righthanded",""
"KuYIhvTzHiS4","26","female","lefthanded",""
"CXO4MnXVq8wA","27","male","lefthanded","This was extremely taxing mentally and induced both physical and mental strain on me for some reason for being quite a simple task Im curious what the purpose of it was"
"bbeyDn0PUWuE","28","female","righthanded",""
"wHWCAzQ700Ny","27","male","righthanded",""
"g1rDhZnud8rN","26","female","righthanded",""
"FVFcrcoznOwp","19","male","righthanded",""
"YKBW6ZuvQpnd","18","male","righthanded",""
"OKUvCFzzYE6H","27","male","righthanded",""
"4eZLAABcZvxm","27","female","righthanded",""
"0Dn9TNCc4hLv","27","female","righthanded","Nope it was good"
"NqffK21ie787","20","male","righthanded",""
"pkaF5sNlLJPR","23","male","lefthanded",""
"fRaT14GT4OjA","22","female","righthanded",""
"vOswNMO5z8iS","24","male","righthanded","even though many of the laws were broken only by lettter i wouldnt personally hold issue with some of the breaks I belive spirit should be taken into account in the real world but for the task i focused on letter "
"90lIooVVYp5f","28","female","righthanded",""
"uw8eOWA2pDth","25","male","righthanded",""
"QLPpSDO3vHuS","23","female","righthanded","I found that by squinting really hard during the color section i was able to increase my reaction speed because I saw the color more than the word"
"lihAe8JtDeIl","27","female","righthanded",""
"Gg28yDNKSlQ7","23","male","righthanded",""
"4JD1pwuOGYRI","25","female","righthanded",""
"EyRzoxUw29tn","27","female","righthanded",""
"eFG9CYmQATe4","19","male","righthanded",""
"qvko8Guyxlmp","27","female","righthanded",""
"1pOVWQ42uhp8","22","female","righthanded",""
"GU4ULPb6XV1w","26","female","righthanded",""
"alfkTQ4PmNiB","19","male","righthanded",""
"uZ5iwq8AUVyc","27","female","righthanded",""
"zkTlZrgUYLh9","25","nonbinary","lefthanded","NA"
"Y7dF1DE793mA","23","male","lefthanded","no"
"vvegNAj8xTTH","27","female","righthanded",""
"9tKsgVNTJzqv","27","female","righthanded",""
"ZcrfoNki6xMC","25","male","righthanded","none"
"50t9Khc89nl5","28","female","righthanded",""
