,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.8809184581037846,0.17595866297789922,2.5637865654193877,2.7612921260019245,2.8783226416561414,2.9891702366547452,3.2446666446058856,0.010569868564991173
a_std,1.2251107020620777,0.14371152436092152,0.9677992606863266,1.1249657822618704,1.212300543614067,1.3109981243709474,1.5346585825368901,0.009039230496766602
a_subj.00wnwvwLHBIk,1.5184881746851742,0.6687926929861661,1.1021805351760443,1.2577467820366093,1.3525505441937433,1.459566211871644,3.885715864035286,0.06442951886162722
a_subj.0ALnIzl1ydE6,3.9900873665565633,0.7665051917020023,2.569862506954475,3.4298119827997238,3.942818957160893,4.5299582776401,5.583553510077128,0.06613104071734711
a_subj.0GabPL5vHH8P,3.0740765209532412,0.5842820046935896,2.0782963123797145,2.661339742882071,3.0321248418861484,3.4449571645910644,4.399145278305353,0.043735110025986845
a_subj.0VVhHyPBOh8x,3.709603468023055,0.809422863586836,2.2800090383011287,3.1889992566788754,3.6399116233948035,4.222125682569247,5.533589348519972,0.07171527277478806
a_subj.1YT4qLD19kvV,3.809004826588168,0.7182769135314162,2.6436953699005166,3.325776696103991,3.7379978584105786,4.179740369187389,5.518863667887368,0.061307527167838195
a_subj.38HjYDEebF7Q,4.161565283911913,0.6849808590183404,2.871233098914458,3.654439263927012,4.158954541492953,4.610102925085953,5.587729513696657,0.054558632599445246
a_subj.3m9MitiUNkLe,4.261882664631721,0.7552199435397814,2.996005759764502,3.698629914565415,4.196917224407484,4.739714765259585,5.9456000185927085,0.06165163781624099
a_subj.568OcVLCD0h4,4.223162075190853,0.7182320843537601,2.8807495593970556,3.7358113432900533,4.184253701819602,4.706076386949323,5.6934667929569756,0.05833133459347972
a_subj.5E741EFf1D68,2.605355545882105,0.5844094017000603,1.6533411712207235,2.1804137684562956,2.538464926443386,2.9724879424232147,3.8770065129927374,0.041006239348917596
a_subj.6xP2E90cGY7d,3.3700001059170286,0.6464971690725129,2.267244943839396,2.9327189236301683,3.3015270023331063,3.773702585777932,4.838309260601707,0.04905467905997531
a_subj.8DgoXYZI05ZJ,1.6170085664434064,0.579924597146293,1.1359930668087088,1.3080135880486066,1.4233583681354285,1.605288250624166,3.5056523305650726,0.054043826209811754
a_subj.8LhlcQz7sD9E,2.6709900906869954,0.5814858340074759,1.786754519801473,2.2411847206493167,2.579873186719105,3.011286637312396,3.9603691761590376,0.04775384167950879
a_subj.8Ym9I2KtvcUQ,2.498698407791012,0.42370886843423883,1.8152614634355901,2.1899562824593115,2.456067590020689,2.7459409791250344,3.4085436291556195,0.027333293824783035
a_subj.8jdRn0wiVZIJ,3.3598103238993233,0.746216649988969,2.0904920584367543,2.8115379238927947,3.3258952703442106,3.885064532911353,4.921786078723735,0.06574504839324379
a_subj.8q2Uy2Q70plH,2.3128000567307363,0.6343448118015939,1.2818961135919906,1.829657730700138,2.251605316942573,2.7368066888517886,3.715376559656326,0.05484143822797081
a_subj.ALbe7y6EHaM1,1.3041258058157883,0.151601302591307,1.0693648754461647,1.1962013151511308,1.2888716509859404,1.391193118535765,1.6217685090933505,0.006615756108017012
a_subj.Bu35lM8ZMH2V,1.981950958968045,0.34556377245718956,1.4860721608663707,1.735544739666167,1.9323063647493979,2.1443295428097624,2.850457781173105,0.021797855583370978
a_subj.Bz45IxAK5fjO,0.9164993142973159,0.04656719775466767,0.8296357479847175,0.8850491232011516,0.915112939423785,0.9463337528998237,1.016025602458552,0.0012110106608343497
a_subj.CW4cYd1QYeU1,2.515781995690848,0.5416287375162504,1.7405901520776308,2.1219847637028986,2.403212709358157,2.844598716678226,3.8226117190544833,0.042592375651628586
a_subj.Erj2vLkrFRFK,1.2068464426590286,0.08571990473098237,1.0540755389219612,1.1455456606245464,1.2018610231835085,1.258534285490967,1.3909482243419715,0.0026371942108157054
a_subj.FNFg4qd24uNy,2.1481001731582667,0.8076337087467189,1.2267256330224572,1.5743922596159665,1.8525652689444794,2.635739761842419,4.426528050496495,0.07581055171074079
a_subj.G6HbAL5CKckH,1.4027733009023544,0.11398101249954366,1.1998578991649351,1.3267474661442273,1.39405279112908,1.469417571829945,1.650760237728784,0.003828941493225367
