,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.1647313167763427,0.053066317562897716,3.0614065976807767,3.127746065148072,3.1647145106158265,3.199051981465647,3.2709067352295387,0.0018755694011727843
a_std,0.3664740912968155,0.046313051867015606,0.2833031595756859,0.3330878621850143,0.36474430916692163,0.3977655539403643,0.4599685025636624,0.0019441478787784899
a_subj.00wnwvwLHBIk,2.916837889939704,0.17118708390154713,2.596460594596124,2.799794217357075,2.908164222563846,3.0326241672470804,3.258105382736332,0.004731537664854701
a_subj.0ALnIzl1ydE6,3.272592381680291,0.21403545877818317,2.8769523757588478,3.1254766765118664,3.257928252314403,3.4136477189998056,3.740004724027968,0.006218716847908909
a_subj.0GabPL5vHH8P,3.1793496536556596,0.18798795163560153,2.831101552708965,3.048874193097095,3.1705247987444602,3.302052914442959,3.573091544180358,0.004777032439856234
a_subj.0VVhHyPBOh8x,2.901873189113718,0.19752242106976792,2.5391577927354154,2.7737068372108054,2.89479240173162,3.0265712869138195,3.3034301300302027,0.005916254227528088
a_subj.1YT4qLD19kvV,2.835123249800934,0.17677077282109063,2.504055506025054,2.711663407607432,2.8283050386542024,2.9480648330660024,3.2176863682572474,0.005128664511188282
a_subj.38HjYDEebF7Q,3.0053384070570344,0.1775745966152249,2.6914344931862124,2.880403290764004,2.99745322183598,3.122463055873535,3.357869187884318,0.0047814099672004486
a_subj.3m9MitiUNkLe,2.9697363675584194,0.20598896534163905,2.596777399671519,2.8222748087383547,2.9649367985242354,3.104425435533139,3.3893564632983813,0.005653327787648765
a_subj.568OcVLCD0h4,3.0875378953331807,0.19035565201072957,2.750494132152641,2.9491281056824286,3.0762702167649265,3.213363131649765,3.4822599324550465,0.0049426226222072595
a_subj.5E741EFf1D68,3.273796888977978,0.2707215204043335,2.7800094847655243,3.0836125392705602,3.2561916082637348,3.445443443605815,3.841472986017202,0.007903872322885804
a_subj.6xP2E90cGY7d,3.168597621643572,0.18082247238449572,2.8403402886350055,3.0393391281655875,3.1605011498035074,3.2881628459352177,3.5561831249919598,0.004919014941862497
a_subj.8DgoXYZI05ZJ,3.1195285747899915,0.2230714573757976,2.7283804417971185,2.963330802658352,3.1079100668787234,3.2627875184314883,3.593765742278373,0.006963107782963102
a_subj.8LhlcQz7sD9E,2.963921335651681,0.17064461251895657,2.6474219585359284,2.847298810451116,2.9562466693097034,3.072052921246734,3.3070988553940475,0.004729591645373365
a_subj.8Ym9I2KtvcUQ,2.809646051160383,0.16977050619010733,2.4935260686027148,2.6840544196067215,2.8067004368616866,2.9195834322303624,3.1538693142999517,0.004525553838928631
a_subj.8jdRn0wiVZIJ,3.1294621702330176,0.1870512794682041,2.7740213695549913,3.0007503549892616,3.1245685809575736,3.2530992609040985,3.5015351079644437,0.005431266414695811
a_subj.8q2Uy2Q70plH,3.2509571058138795,0.20477428341649467,2.8763289302328916,3.1140651593588577,3.2406628657942402,3.381362386146932,3.668889605055954,0.006672655260877866
a_subj.ALbe7y6EHaM1,2.8114451354234187,0.2294270205620675,2.4063246970529746,2.6503532437969186,2.7972029490476262,2.957324225031928,3.2839804689757557,0.008495779954121168
a_subj.Bu35lM8ZMH2V,3.0520435824698664,0.18577188634012076,2.6950973290838567,2.9299750397349897,3.0468045572350793,3.16851976322011,3.447084543196938,0.0052562034973800825
a_subj.Bz45IxAK5fjO,2.587032786941314,0.158289433521972,2.2923850859516115,2.4776157608811396,2.5816159509201455,2.68990877966855,2.9019356538325405,0.004949029515523637
a_subj.CW4cYd1QYeU1,3.2963734782818457,0.19419801563192784,2.936918928685973,3.163983698462167,3.285536405308845,3.4142196966922294,3.713102970757756,0.005122386085837119
a_subj.Erj2vLkrFRFK,2.391596530080358,0.16133607167148523,2.113174574700898,2.279332405235478,2.381472233652258,2.4934898098216842,2.728340197665919,0.005312569673237436
a_subj.FNFg4qd24uNy,2.726559972354813,0.16090964335716085,2.431011927797184,2.6147181572316613,2.71679160695212,2.8311985569795275,3.0635676786996955,0.0042784082475022765
a_subj.G6HbAL5CKckH,3.210226361035423,0.1947928460915649,2.8664386593250555,3.0676000027015027,3.206992312817346,3.3423045257113033,3.6153514338666977,0.005711233960409348
a_subj.HJgtd5UpWefA,3.380115772535143,0.2448827223811227,2.92576681364517,3.2133613855817345,3.3620448189204692,3.5438088244412858,3.863458040681765,0.008204830926213628
a_subj.JXwtQfYRmdlb,3.6172073908071227,0.23498671571890573,3.1856059025809573,3.4591424878166905,3.607252885624583,3.767842584870867,4.097020636355242,0.007681912850495127
a_subj.Jm9VG9LqGvAY,3.06051468529787,0.18304305272398982,2.73120588423218,2.9282482573597703,3.0501970768143223,3.1900555473120193,3.435563342895195,0.0054398014591304665
a_subj.KOP4RVWbQg5t,3.4915176742688563,0.2528502070938481,3.0420825802452702,3.3162981631104165,3.4773700863162302,3.645524639054938,4.022069049012138,0.00860794077339333
a_subj.KhkKnvIk9rxi,2.9723786636294527,0.19563584625651545,2.610643296138324,2.8365434260283564,2.9658384966905533,3.096475766308368,3.372533330340059,0.006000347690311412
a_subj.Kr1fhFpwcKCC,2.9769684163702586,0.18330522240246142,2.6259654142744178,2.84988220447049,2.9677079096206014,3.1031239160414184,3.3549638712520915,0.005482316674401844
