,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.7717913054519863,0.2563585542560852,3.302539433133368,3.5997455771001525,3.7603068176850116,3.929847446002067,4.310591973138972,0.016740537560392416
a_std,1.7476431490116309,0.20298728252025625,1.3948416389810034,1.6081526914770585,1.7347094365727176,1.8724741044639122,2.2113167546669987,0.01225744204767327
a_subj.00wnwvwLHBIk,2.0379204993050273,0.16136397412734077,1.7562760787929579,1.9246686209903046,2.0311704012619862,2.14024932177758,2.37284199115763,0.004790416642433988
a_subj.0ALnIzl1ydE6,1.8456554930730376,0.22997144421797,1.559808570959119,1.7175226108190156,1.8096414701638712,1.9112858353658835,2.4699028914537293,0.01410157745052092
a_subj.0GabPL5vHH8P,2.291783118056319,0.5227088541622134,1.7165269057177253,2.004426533736106,2.1712166734641185,2.379517963079927,3.9340753515931874,0.042634809223435585
a_subj.0VVhHyPBOh8x,3.793914355480129,0.8470139977942284,2.2077948755298524,3.190545331910885,3.785619702457812,4.375044927378278,5.473398394945601,0.07104363423666492
a_subj.1YT4qLD19kvV,3.0416703575285706,1.3502182722954585,1.4939756750970334,1.7376991148050693,2.8175906196512543,4.213640095421804,5.551346040354549,0.12830636086737635
a_subj.38HjYDEebF7Q,4.681515449558175,0.8605785723364059,3.159067489382939,4.027313000646558,4.6637225038054275,5.266271089854811,6.451901374849403,0.0701121106516666
a_subj.3m9MitiUNkLe,2.343540296108251,0.2256141240793198,1.9652016531583663,2.1899019448973975,2.3174689656941414,2.481884037132043,2.8487913651292534,0.008735025316459423
a_subj.568OcVLCD0h4,4.974131363447034,1.1505976839792944,3.0286493756424018,4.128401813410369,4.902469026217934,5.666774170813683,7.4443151006588515,0.09943514430966481
a_subj.5E741EFf1D68,4.5934985532522585,1.8348743112892434,1.9002659829229749,3.086508814511591,4.44106869399449,5.764051530151426,8.589881535474621,0.1406594591868705
a_subj.6xP2E90cGY7d,4.556004397996098,0.6304519212722626,3.314840472154188,4.125151456132238,4.5094538388995185,4.965756339929543,5.8448324805416405,0.042825781699749224
a_subj.8DgoXYZI05ZJ,5.1233374233025755,0.8546726221989399,3.550752283183261,4.4895207565224,5.073936032312056,5.738818395863923,6.802821796365058,0.06819007826683544
a_subj.8LhlcQz7sD9E,4.832910902747874,1.0388411838442173,2.8483405167979328,4.141814870254178,4.843150289241473,5.631276512050798,6.720812354828422,0.08750662441456382
a_subj.8Ym9I2KtvcUQ,2.688300579998306,0.6292556560235241,1.716713733257924,2.2253266510529386,2.6018463492650796,3.0747649933191035,4.1189087467668255,0.05224650051687598
a_subj.8jdRn0wiVZIJ,1.6620545088784004,0.11280478709480483,1.4610266680577195,1.583237432775364,1.6533391281408254,1.7340385244685383,1.8928483245320442,0.003432688659728283
a_subj.8q2Uy2Q70plH,3.0136094069016677,1.0310575090991325,1.9897218227740365,2.306274569785815,2.608340636547636,3.3536935997476096,5.695539789850389,0.08984176867453357
a_subj.ALbe7y6EHaM1,2.6570537727347716,1.4250117056096017,1.4274753908768005,1.6980207869510506,1.9087599050165762,3.5609405470020032,6.222497743598584,0.13766235615816932
a_subj.Bu35lM8ZMH2V,2.273287359341456,0.14254839204930728,2.014266779220301,2.1777142846602944,2.2659836986604414,2.358112966138041,2.5737817747173253,0.0038213442545316097
a_subj.Bz45IxAK5fjO,1.821074935602235,0.214165560878716,1.4823884247052346,1.657097951541227,1.795642865068654,1.9615000174444652,2.288279934526007,0.00988777615093239
a_subj.CW4cYd1QYeU1,7.196132016943867,1.1518309936815923,5.0286901885713124,6.375640185193742,7.150107500952901,8.032332679001819,9.433486331498163,0.09366474404454145
