,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(1),1.9316840756957043,0.09258330803152333,1.7514288684369688,1.869881918892756,1.9322772584509147,1.9936885454972975,2.1114159564434023,0.00672202164072915
a(2),2.0440253700805617,0.1278194427209282,1.8090389619931095,1.9571075493071983,2.0354074435848393,2.123449225262661,2.3255031353886144,0.010887837237020376
a(3),1.767144138557886,0.09329836835941566,1.6037787049442642,1.7033416831608548,1.7606122433526772,1.8273122865236846,1.9651459802578364,0.006723321707061048
a(4),1.9144327235388354,0.10706757404104046,1.7196996434652012,1.8426515707377664,1.9059230946091184,1.9773779430042926,2.143144568925958,0.008831514508582848
a_std,0.4605725502572758,0.050028404293253254,0.3708967192070378,0.4275247169037776,0.4554388824088509,0.48915235625883713,0.5706041170400753,0.004166190544618311
a_subj(1).00wnwvwLHBIk,1.4473751682536335,0.22194613730814935,1.0367654783440567,1.2903947746146665,1.4380716425151072,1.5918655450466144,1.915117032386724,0.010207536216959296
a_subj(1).0ALnIzl1ydE6,2.134730305064735,0.39094895482664244,1.444167365501209,1.8614562645815456,2.1004173365986243,2.393762261797202,2.98034523940135,0.023087678711290895
a_subj(1).0GabPL5vHH8P,2.300061739448674,0.40765071517323104,1.5770735228835178,2.0154753300298855,2.271864745422105,2.547003487867636,3.1534077935881433,0.02211573720819365
a_subj(1).0VVhHyPBOh8x,1.7057028440578301,0.33198351056963227,1.1107705767135796,1.4659701496574962,1.6817919065486675,1.917905364915773,2.4047390091327943,0.019003885295155655
a_subj(1).1YT4qLD19kvV,2.049415288351129,0.3857766666394436,1.3965008215196604,1.7766616233182018,2.0150874712868583,2.296830725323099,2.87958869200739,0.02251334068520692
a_subj(1).38HjYDEebF7Q,1.6927813901280313,0.37065215400918555,1.1406231956719302,1.418024474542967,1.629489154824745,1.9161033466275104,2.5304901073376427,0.02245731274197966
a_subj(1).3m9MitiUNkLe,1.9777891434131056,0.4059410836138723,1.2247946602843949,1.681053231026119,1.9629973975300365,2.2576915229132988,2.8100214435802355,0.024317009087571933
a_subj(1).568OcVLCD0h4,1.7643646345118187,0.33020762601673687,1.2653129453592455,1.527997814363566,1.7102591618154055,1.9496674486234342,2.5685259491923187,0.01556522986918972
a_subj(1).5E741EFf1D68,2.1160488345516284,0.39013641690263245,1.4202963497102543,1.8438625930760661,2.0947499863948975,2.369731453080525,2.9384662386665696,0.015106364700690517
a_subj(1).6xP2E90cGY7d,1.510764094750652,0.22840326544384273,1.1256809048502128,1.3444938582732853,1.4909663774098016,1.644638598577243,2.0221850682295788,0.009138061436854786
