"subj_code","age","gender","handedness","comments"
"BLLCS4168H","22","female","righthanded",NA
"GZPZO6737V","19","male","righthanded",""
"AQACT2469W","22","male","righthanded","no"
"XCUFW9329I","26","female","righthanded",""
"DMSHD0996H","26","female",NA,NA
"FSDPH6391K","27","female","lefthanded",NA
"AZBME0675U","23","female",NA,NA
"PEAJH4055U","39",NA,NA,NA
"MLYDL0542E","36","female","righthanded",""
"BMSJS8502V","39","female","righthanded","it was interesting how you might think there are exceptions to the rules eg no dogs except guide dogs"
"ICPOQ5567V","35","male","lefthanded",NA
"DFZCW4870X","33","female","righthanded",""
"VWBXG8632B","48","female",NA,NA
"GIBPA7973X","56 ","female","righthanded",""
"TYHVL5665U","35","female","righthanded",NA
"WYVFV3958X","55","male","righthanded",""
"ZQWNK2394Y","23","male","righthanded",""
"CCLSR3486G","56","female","righthanded",""
"QGSRX2427D","21","female","righthanded","its well made"
"HUZGH6025K","50","male","righthanded",""
"UINPM3288W","27","female",NA,NA
"GBPIY5193D","63","male","righthanded",""
"LHPEI0279Z","21","female","righthanded",NA
"SLCOS0574P","20","male","righthanded",""
"GPWGL6487N","27",NA,NA,NA
"LGDBD3926O","23","female","righthanded",""
"KPOWR8676R","22",NA,NA,NA
"UOPON6041O","18","male","righthanded",NA
"RDHTH7239I","31","female","righthanded","NA"
"HBTYX3165A","25","nonbinary","righthanded",""
"XFVYW6806M","34","female",NA,NA
"PSMOT0481T","44","male","righthanded",NA
"NBZPC9334P","31","female","righthanded",""
"WNBXC7483Z","21",NA,NA,NA
"KNIIM1538M","25","male",NA,NA
"LLJAV7391H","20","female",NA,NA
"XCTJL8248U","39","female","righthanded",""
"PRSLX4469R","36","male","righthanded",""
"YAYEL6186H","27",NA,NA,NA
"XNWDC8059I","24","female","righthanded",NA
"LGRQF1679B","28","female","righthanded",""
"NOXSB2258V","39","female",NA,NA
"NGZLS3069T","21","female","righthanded",""
"CFFVP3411R","49","female",NA,NA
"WSLQJ7473S","22","male",NA,NA
"COZJB4041O","38","female","righthanded",""
"ZNYKR2243O","27",NA,NA,NA
"PPWMX8252M","32","male","righthanded",""
"TYMEQ9232N","31","male","righthanded",""
"XMZCM6556G","38","female","righthanded",""
"OVIGM9065R","25","male","righthanded",""
"XHOQR5294V","42","male","righthanded",""
"VJQSL7606H","29","male","righthanded",NA
"HRMQI9868K","68","male","ambidextrous","none"
"ZBOIP7295D","20","male","righthanded",""
"RCBAZ9448N","28","male","righthanded",""
"MSRDO7664F","71","female","righthanded",""
"SOGSQ4932M","49","male","righthanded",""
"UEIBJ0267C","45","male",NA,NA
"ELAYM5389C","28","female","righthanded",""
"QIKLA3085J","54","male",NA,NA
"CPUHR1670Y","71","female","righthanded",NA
"GMHFG5378E","74","male","righthanded",""
"GAZQF8991Q","29","male","righthanded",""
"RVZDC3894I","52","male","righthanded",NA
"AYPSZ0587F","26","female","righthanded",""
"ELUMS3711D","45","male","righthanded",""
"KEWAF7893U","22","female","righthanded",""
"HENGU8212P","20","male","righthanded",""
"TDMJA9810R","30","female","righthanded",""
"RBVYZ7742W","55","female","righthanded",NA
"HRQIE0350Z","23","male","ambidextrous",""
"ACMGP9862R","28",NA,NA,NA
"CJTPE1086G","36","female","righthanded",NA
"DEDOV3963A","26","female",NA,NA
"MQTQB3834U","32","female",NA,NA
"STTMQ5987Z","65","female","righthanded",NA
"DWZNB4525A","53","male","righthanded",""
"GZKAH5905P","50","female","righthanded",""
"WOAJP0997Z","22","male","righthanded",""
"WHQAJ6029O","36","male","righthanded",""
"LXAJW5898A","33","female","righthanded",""
"KMSMS8461H","37","female","lefthanded",""
"KKFDR1871Q","20","male","righthanded","thanks for the opportunity"
"BXFXV1619I","26","female","righthanded",""
"SSXEZ5841A","40","female","righthanded",NA
"FENZC4225G","25",NA,NA,NA
"SJFGT4021E","62","female","righthanded",NA
"IGNQP9961X","38","male","lefthanded","May have messed up the first few questions but focused thereon after"
"GEDNS3323S","24","male","righthanded",""
"YKFVA9067K","47","male","righthanded","not at this time"
"GEZOW7089F","32","female","ambidextrous",""
"DYPKN9695W","62",NA,NA,NA
"IUILE4694F","62","female",NA,NA
"HDIHH1054Z","27","male","righthanded",NA
"FEEBD3252G","69","male","righthanded",""
"YRJFH5901V","45","male","lefthanded",""
"AGTOV8824Y","31",NA,NA,NA
"VGDPY3277U","35","male","righthanded",""
"KJXBN2484W","58","female",NA,NA
"NMCNL7323D","42","male",NA,NA
"SCKER6907A","31","female","righthanded",""
"WLGDF6621O","35","female","righthanded",""
"IALVP4137K","34","male","righthanded","no"
"HWPWZ2726N","24","female","righthanded",""
"RQBVC2421Y","28","female","righthanded",""
"AKIKT0800G","33","male","righthanded",NA
"XSXSI3730Z","55","female","righthanded",NA
"FYVSI2991B","22","female","righthanded","no"
"AOOJM7368U","32","female",NA,NA
"CEJIC8085A","22","male","righthanded",NA
"FLASX3177R","50","female",NA,NA
"MEWTX3916R","21",NA,NA,NA
"AZECG5537P","29","male","righthanded",""
"LBIWA4153B","44","female","righthanded",""
