,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(full violation),3.852290399870645,0.07006856879328079,3.723764786519262,3.804468187413528,3.851086578328469,3.897925118412045,3.9991758303625553,0.0028038748277414427
a(no violation),3.8344358907766316,0.0666123635393517,3.7067390473564052,3.789868037129333,3.829491825109759,3.878344935889089,3.981295143159687,0.0028094436822242086
a(purpose violation),3.2516811604107265,0.031804656171850514,3.191596393254174,3.2289105049424287,3.2514311481919296,3.2737807313300324,3.3162230063445723,0.0011596441249592119
a(text violation),3.3689076189139087,0.03106854339731153,3.30766675293592,3.347498427960589,3.3693335990109796,3.390258790962654,3.432095080617084,0.001040494357291959
v(full violation),1.0398367683172487,0.022407894140635893,0.9970317212819388,1.0253669663552558,1.0392479922070075,1.0554367839383316,1.0842883934383154,0.0007698596568075803
v(no violation),-1.1061837041671476,0.023372852360712747,-1.15120739552422,-1.1225477537315758,-1.1060920285752627,-1.0889792320052392,-1.063078675581236,0.0008521164088148155
v(purpose violation),-0.49437033186090407,0.01976818475170374,-0.5314905398280895,-0.5076212577272765,-0.49556822706627074,-0.4811957665400446,-0.4535082445527144,0.0007166140647770645
v(text violation),0.23322960325598155,0.017729475589130506,0.19784618840858134,0.22160079727836315,0.23350109547489142,0.24528777345432745,0.2667357948087644,0.0005684914955653115
t,0.6689712216827022,0.010431442715899584,0.6477956492593285,0.6620517843203378,0.6691183240605225,0.6756764787945364,0.6891730210665932,0.00038030818770912574
z(full violation),0.47566457120127165,0.010524381215388928,0.45436117428040473,0.4684415119821847,0.4757006325855889,0.48366531894135895,0.4947321098540015,0.00042411908946017666
z(no violation),0.5415270460362221,0.010398900209077046,0.5215458637946652,0.5346802622654186,0.5415825702261193,0.5481905643811609,0.5619684427126335,0.0004324712621747382
z(purpose violation),0.5741982538983572,0.007690739922208241,0.5593237924394175,0.5691893166749863,0.5742099995045098,0.5796007603936179,0.5893323414364365,0.0002334063247527642
z(text violation),0.49485591183786304,0.008028268750401527,0.47904883679115334,0.4896706442160477,0.4944468626911517,0.5004455263041873,0.5103491670584664,0.00025174351019086863
