"subj_code","age","gender","handedness","comments"
"JZDAcouq4J91","25","female","righthanded",""
"4k5bRmmdq8Pz","69","female","righthanded",""
"Cqxvkk5juDIa","32","no answer","righthanded",""
"7Qpi1lw70VQq","31","male","righthanded",""
"4h0MvqPckoXO","36","female","righthanded",""
"TbQGA6LrjFop","28","female","righthanded","no"
"x8K4129G1TSS","35","male","lefthanded",""
"bj0QLmaHrZ3m","39","female","righthanded","no"
"R4Hnk2AJpjE5","27","male","righthanded",""
"rEHdlJ6SvczG","53","female","righthanded","I was aware I hit the wrong key once or twice as the wording registered a bit more after but I was trying to be fast "
"BzghTfALE3F9","26","male","righthanded",""
"JR3lTkJy3Ywh","27","female","righthanded",""
"aUutRzlZ0KXQ","62","female","righthanded",""
"kPgzhBz1BxK0","37","female","righthanded",""
"gikPYj6HPJjz","21","female","righthanded",""
"vBwMDNVz7VAZ","39","no answer","ambidextrous","Thank you for allowing me to participate"
"T9GKShd8pzmc","45","female","righthanded",""
"Uqm9DtuQiq72","29","male","righthanded",""
"U6wEW7YSi5Hp","54","female","righthanded","No"
"KQqSCBjLTdRy","53 ","female","righthanded",""
"MxrqWzqSpftl","36","female","righthanded",""
"bLW2IOdldm3d","40","female","righthanded",""
"N3EqmvxOqFhv","51","male","righthanded",""
"DZqkJ2X9jiVK","52","male","righthanded",""
"4mN4fjxnew9T","33","female","righthanded","Make it clear at the start if E is no and I is yes every question took me longer as I had to keep checking if E and I meant the same thing and wasnt swapped around to trick me into clicking the wrong answer"
"8HrF4wdpnW4j","44","male","righthanded",""
"Jehy01JJgWyu","23","female","righthanded",""
"EizSMDEYnnI3","24","male","lefthanded","I misinterpreted the first block and my answers were the wrong way round"
"zQpRaOCMJrBm","40","female","righthanded",""
"puS3bNyP8SK2","28","female","righthanded",""
"B17IU1Ko7uV1","57","female","righthanded","No"
"xh1f8rE9JalW","42","female","righthanded",""
"tO1NFSsqL102","43","male","righthanded","No thank you"
"yq6S9s6phSjY","24","male","righthanded",""
"I85G8FoBhp9t","22","female","righthanded",""
"Gs7wnz54CUTe","28","female","lefthanded",""
"PFuBGZ1sACZW","28","female","righthanded",""
"iuHRjsEKBOSp","52","male","righthanded","Thanks"
"M7ZCzuR28GkR","36","male","righthanded","Good survey"
"ZijpzOf3oQE2","28","male","righthanded",""
"EjOiAugJmHZu","49","male","lefthanded","No thanks"
"tzdiqqsyCaNH","55","male","righthanded",""
"tGQcULMcwYUF","31","female","righthanded",""
"u3DWuWldcyqD","37","male","righthanded",""
"gOWg546Mj8Qq","33","male","righthanded",""
"T0viVR4gsm0n","30","female","righthanded",""
"xHRVoR48S3Vg","35","female","righthanded",""
"6UbDUP1SpnKh","33","male","righthanded",""
"33tTVecX05Df","22","male","righthanded",""
"tcBCYmlA2Rt5","29","male","righthanded","Some of the questions I thought timed out to quickly I had to reread a few of the questions before it timed me out but some felt longer "
"n51jlORqsu5Y","31","male","righthanded",""
"dwO75HrWtZkm","20","male","lefthanded",""
"EPz0aJrRluRZ","28","male","righthanded","it was an enjoyable study "
"mdrdIJ5VQFHR","26","male","lefthanded",""
"eIzSZg75FMlM","46","female","righthanded",""
"VERPrjCCDwPP","34","male","righthanded",""
"mmvdkccqywBd","52","female","righthanded",""
"PiO2lUKrBfPm","58","male","righthanded","no"
"rsRl7SEEKk0z","35","male","ambidextrous",""
"s2ln8oXqFe0g","71","female","righthanded","no"
"P6ikTaTUjwiC","20","female","righthanded",""
"UxRhpVozvZDO","48","female","righthanded","no"
"JaZlAjYV8UDQ","30","male","righthanded",""
"r62B8iJqriyn","27","female","righthanded",""
"VWqWbpTrOLG9","34","female","righthanded",""
"mtwyj72f4c89","19","male","righthanded",""
"sjxjY305GQwy","64","male","righthanded",""
"yMQkw83IX2Ju","20","female","righthanded",""
"3WUyogPKNkRH","22","female","righthanded",""
"dnKOk57dPMhy","21","female","righthanded",""
"WUsXLmn5cR9T","54","female","righthanded",""
"oaKz7N5ASVKx","27","female","righthanded","no"
"Jyqe64Eic5UG","22","female","righthanded",""
"NvgcxZXGYA20","31","female","righthanded",""
"U6OW2QGpV5Ny","55","male","lefthanded",""
"VFqmhs0Smnn1","38","female","righthanded",""
"vPsEzCFToNdY","27","female","ambidextrous",""
"egMPoc1hmYhe","57","female","righthanded","great study"
"7e6e9tG53qzK","32","female","righthanded","One answer was accidental about the homeless person sleeping on the floor Id intended to give the opposite answer"
"qF9bAWdfrdnT","37","female","righthanded","no"
"XcwDfMfElD54","50","no answer","ambidextrous","no comment"
"EE2UV25BVdxT","43","female","lefthanded","There were a few that were hard to decide if they broke the rule or not"
"yIBbJAMT8MkZ","33","male","righthanded",""
"BGAnW8mycPYt","37","female","righthanded",""
"l5LaIJQDOnmq","21","male","righthanded",""
"GRoxRb3mDPyk","24","female","lefthanded",""
"3W98dDpH80cD","33","female","righthanded","no"
"CJbKmHkct0mR","52","female","lefthanded",""
"gdATsdNPUgIc","29","female","lefthanded",""
"uNVPtlXxTYB9","21","female","lefthanded",""
"WERFmktCR89E","29","male","righthanded",""
"YbWVzzRFU8EH","23","male","righthanded",""
"yfdn7EeQpLSH","45","no answer","righthanded",""
"PoGvgPpK1Q0e","23","male","righthanded","none"
"rpLIqbcqxIFW","44","male","righthanded",""
"YjLMeySFxfBW","26","male","righthanded",""
"CkFElbnl4SqF","22","male","righthanded","I know I got about two of them wrong as I pressed the wrong keys"
"VdAEZJkSGdFe","35","female","righthanded","Found it hard to answer quickly really made me think"
"MwkrLTEONTOc","44","male","righthanded",""
"2ROvGgJjyPdb","30","male","righthanded",""
"HgPT4vYYjUH5","49","male","lefthanded",""
"lg94UcVigYdK","24","male","righthanded",""
"SJpAwYjxnD0G","23","male","righthanded",""
