"subj_code","age","gender","handedness","comments"
"uwHpdWj8eh","30","male","righthanded",""
"SivFSwy7TY","28","female","righthanded",""
"u8zw5VOuRp","34","female","righthanded","no but it was interesting to see how I responded I did what I thought was morally right rather than absolutely following the rules"
"joOg0p0Cub","30","female","righthanded",""
"NR2yQxtdyc","56","female","righthanded",""
"KLOm2kfAGV","47","male","righthanded",""
"fylZqBGpgE","29","male","righthanded","none"
"28DTCi0NV0","28","female","righthanded",""
"a9MemYE55I","22","nonbinary","righthanded",""
"f0CvvjKVkc","39","male","righthanded",""
"cDDOwxjjX0","35","female","righthanded",""
"bpkSXX0Mbp","54","female","righthanded","no"
"MPZaiOuxEi","41","female","righthanded","no"
"ubdwqZo7lc","28","male","righthanded",""
"94SmjoAwI9","52","male","righthanded","no comment"
"iKmOgmB18g","20","female","lefthanded",""
"vYbCXBSJ7B","31","female","righthanded","I read phones as photos to begin with"
"jPPTQ8panl","40","male","righthanded","none"
"urJGkkun8H","24","male","righthanded",""
"Cm7843W6kj","43","male","righthanded",""
"sWqR9RxUFG","18","male","righthanded","Everything went well thank you"
"XeK3RqZLXt","43","male","righthanded","Nothing"
"UAXxJoJB2F","23","male","righthanded",""
"L9I1zn5rYQ","23","male","righthanded","I think in some cases I reacted too quickly due to the time pressure and given more time would have chosen a different option"
"4Y4DYT99Uw","30","female","righthanded",""
"i7JwV8rCvs","44","male","righthanded","i laughed at the absurdity"
"8mS8sKJPTM","27","female","righthanded","none"
"S3ByKAU1L1","24","female","righthanded","no"
"rjJNK5kb92","29","male","righthanded",""
"TR3KsvO9JJ","35","male","righthanded",""
"6yU5DvIetz","28","female","righthanded","no"
"QO8HZvMqik","33","female","righthanded","no"
"v09OfTXJoI","60","male","righthanded","Fun study but glad it wasnt longer"
"P5nM22xNnu","55","female","righthanded","thanks"
"RZ4AjTgwUT","20","male","righthanded","na"
"YeHydacvOH","33","female","righthanded","Accidently clicked the wrong answer a handful of times by accident  sorry"
"5Jl6ixC63p","23","male","lefthanded",""
"aTMHbo6xA5","32","female","righthanded","i messed up one of the last questions and pressed i instead of e"
"rWeEiUxuY4","52","male","righthanded",""
"1VdPs6yG5N","23","male","righthanded","no"
"7aEi99GmQ3","40","female","righthanded",""
"7TyoX4SLgV","37","female","righthanded","It was a little unclear how literal we were to take the rules"
"VXR5v1PE6T","59","female","righthanded",""
"evMrIS8of3","50","female","lefthanded",""
"QOhePJFftq","31","male","righthanded",""
"O4p47dJBOr","22","male","righthanded",""
"L0uxUSauAm","31","female","righthanded",""
"EZq8tRtF53","26","female","righthanded",""
"yUqPUBlIA2","31","female","righthanded",""
"8AWo7tZ9tF","48","female","righthanded",""
"9lEIWK9GLZ","39","female","righthanded",""
"ovp7eg1vTG","47","female","righthanded",""
"rEneQ50WWD","31","male","righthanded","I think as the study went on I answered more and more according to my personal morals rather than the binary logic of the rulesstatutes which I suppose is the purpose of the study"
"ixWAYlfDLJ","28","female","righthanded","na"
"uCg865uHsl","24","female","righthanded","No"
"nC22HLjFWl","35","male","righthanded",""
"dCz0Cd11bZ","35","female","righthanded",""
"FvfeCTzzRi","31","male","righthanded","none thank you"
"JpQznUXL3S","63","male","righthanded","No"
"UHmIVTlARW","45","female","righthanded",""
"TWgLqv6CUK","40","female","righthanded","Accidently pressed no for one which I meant to press yes to man shooting a deer"
"TaDj9hGQiT","20","male","righthanded",""
"KEDFZi6Wqi","23","female","righthanded","no"
"J7ZpWhULxv","38","male","righthanded","Great experience"
"CxshVTC6TJ","26","male","righthanded",""
"ltKpDlYQpH","34","male","righthanded",""
"Tm5O58DGIN","18","male","righthanded",""
"UskxKp87jY","69","male","righthanded","regret some of the answers whilst trying to complete the questions quickly"
"b7sq2hXwuS","48","male","righthanded",""
"lVCilhBIKZ","43","female","righthanded",""
"ssNjniNI3f","55","male","righthanded","On several occasions I clicked with the wrong finger inadvertently selecting the wrong choice I regret those errors"
"Cc8NJoMRRb","21","female","lefthanded",""
"wZXwtP3mvN","36","male","righthanded",""
"F5OB8FY9xw","28","male","righthanded","na"
"zh80gguPQX","61","female","righthanded",""
"P6NCi0utkx","26","female","righthanded",""
"ceN4g7IdO4","30","female","righthanded",""
"rNf1aHO9p8","29","male","righthanded",""
"utBXW9WDHV","27","female","lefthanded",""
"9vUckcv41X","33","female","righthanded",""
"EdN22xE0D3","25","female","lefthanded",""
"EO0MabGfw0","28","female","righthanded",""
"mo4ZX8HLoA","37","female","righthanded","no"
"WlHRf2YvQw","22","no answer","righthanded","I do not have good coordination with my hands and the time restraints made me panic and therefore I answered some questions incorrectly"
"yfICJq3BTK","30","male","lefthanded",""
"or1pOf7TvZ","35","female","righthanded","I accidentally hit the wrong button a few times sorry"
"ukdnvAB6pn","25","male","lefthanded","No"
"HRcMNuO4hg","56","female","righthanded",""
"52O0ZwLFX7","26","female","righthanded","It was challenging there were scenarios which I knew were not explicitly breaking the stated rule but I knew implied that behaviour was not OK  "
"NKwullzZD8","32","female","righthanded",""
"nyy7cr8M9R","45","female","righthanded",""
"Uwuwl51KEn","31","female","righthanded",""
"UV4LkN0iY4","38","female","righthanded","NA"
"LPJjOccneg","25","female","righthanded",""
"Pf1o4t4BmC","47","female","righthanded",""
"PRbZ3BINi7","20","male","lefthanded",""
"Q1SnTEs7Gs","22","male","righthanded",""
"k6or78X3U0","53","female","lefthanded",""
"q3oXU1YiEo","25","male","righthanded",""
"QZ9CAp6GnI","34","female","righthanded",""
"r2LJ8NS2zu","24","female","righthanded",""
"yA28MXwdU5","39","male","righthanded",""
"wLMcjCaqz0","20","male","righthanded",""
"oC7gGpdW1H","31","male","righthanded",""
"2t83MhtFOc","27","male","righthanded",""
"Y2TwEgu286","32","male","righthanded",""
"PyMih1wXh2","29","male","righthanded",""
"u2mWGVX5uY","25","male","lefthanded",""
"3fc4RdoOls","59","male","lefthanded","none"
"cMvk36on3u","21","male","lefthanded",""
"itXLpnWm3S","54","female","righthanded",""
"1jh0TaH3NW","24","male","righthanded","no"
"FwRhAF1KP6","22","male","righthanded",""
"q0ynVvTVp9","21","male","righthanded",""
"WQKR2F6MeQ","18","male","righthanded","nope thank you"
"4gqr50QyUz","49","female","righthanded","i enjoyed it was difficult to sometimes stick to the actual rule to the letter for some questions"
"U7YEimRTOt","27","female","righthanded","It was an interesting concept I feel a lot of the scenarios towed the line between ethical and practical Such as the last question  ethically if the rule is that anyone sleeping in the station gets escorted out then that should be the deciding facor but morally anyone would make the difference between a backpacker spending the night and someone dozing off after a shift as two different things and the backpacker would be asked to leave wheras the shift worker would be fine "
"YgK5wf07qR","28","male","righthanded",""
"OQfBpunVFf","40","female","righthanded",""
"wy3NnXIO1q","22","male","righthanded","no"
"1ebJzpb8rZ","41","male","righthanded",""
