"subj_code","age","gender","handedness","comments"
"SNSAAiEamlZV","25","female","lefthanded",""
"KiiD5lxMjleo","48","female","righthanded",""
"nZ1WWuICiFdm","29","female","righthanded",""
"PSa0KMzOAA3x","27","female","righthanded",""
"scTtLBznXAeY","24","male","righthanded",""
"EAdfu18uL6Iv","44","male","righthanded",""
"JSbZIH4thGqB","29","female","righthanded","no"
"iEdq6qJDnJ8N","23","female","righthanded",""
"1DaCslduRFpB","43","female","righthanded","I was intrigued by the wrong answer I received after one scenario"
"4yK9Y33iukyG","42","male","righthanded",""
"QlAq86doYelL","28","male","righthanded",""
"tTyXXA5QfLpA","43","female","righthanded",""
"O7tdCvYFaDst","38","male","righthanded",""
"Rkg3RSIAaVLO","39","female","righthanded","had to remind myslef to observe the rule only and not the moral questions that were obviously being asked Very good"
"Ac4JVL7j6XrT","60","male","lefthanded",""
"jUcmGcx3A1Su","23","male","righthanded","no"
"HvwecoUX92NL","31","female","righthanded",""
"7cuE9jAxZOjo","23","female","righthanded",""
"33bAP4m49SLk","41","female","righthanded",""
"pCzlsbj66oXj","36","female","lefthanded","no"
"x8wm30nhHn2c","23","female","righthanded",""
"llVhdcKMQWXf","25","male","righthanded",""
"cl3egNFvrCO5","37","male","righthanded",""
"TM0rMvbFcKTw","30","female","righthanded","Really enjoyed that But the 5 seconds is far too short I had barely read the question and timed out a few times Maybe 7 seconds would be better"
"fnqsLujDAcJg","30","male","righthanded",""
"UVuTQbrw3Sf5","35","female","righthanded",""
"J0Ogo4qLFzVX","36","male","righthanded",""
"4OxZPfODEkF9","39","male","righthanded",""
"55fML5gz4YAR","29","male","righthanded",""
"Ftv22TWRbPph","35","male","righthanded",""
"A9NBUlvBvX41","36","female","righthanded",""
"7W9WB1XCC8wp","29","male","lefthanded",""
"r2QA4IxaSrMr","30","female","righthanded",""
"8QRUMhENfX5N","19","male","righthanded","no thank you"
"NzTFpuDsDdsw","22","female","righthanded","I liked it "
"fIyb0Jo9FqDC","22","male","ambidextrous",""
"7Aze2xOZYAYm","41","female","righthanded","no"
"spHUN7vLRAqJ","49","female","righthanded",""
"UeknKsic4xpA","30","female","lefthanded",""
"FzUss7asyvny","43","male","lefthanded",""
"OnazLgR8wqrO","55","male","lefthanded",""
"Xa0wvqfYRrfg","32","female","righthanded",""
"uV8eOgT3sAln","39","female","righthanded",""
"8O9itv1JMcj7","38","male","righthanded",""
"Lb92gnCitPyX","34","male","righthanded","this stydy really tested by thinking speed i enjoyed taking it "
"jVRLjqTvlPKB","45","female","ambidextrous",""
"hZs5DOjbQf4R","20","male","righthanded",""
"QNg7Cl0ldH9f","52","male","righthanded","nothing to add"
"rcqcAeO9byr1","23","male","righthanded",""
"S1lgZVLJvNfH","45","female","righthanded",""
"DYAguqWYsH1B","38","male","righthanded","I like such focused driven studies like this Thank you"
"eSM4W0EccPJM","41","male","righthanded",""
"GlYGJ2lb9M4T","26","female","righthanded","NA"
"MiFhUxboDL0k","33","female","righthanded",""
"XNAyOAJMh1aB","26","male","righthanded",""
"cFabJUU5tYIN","22","male","righthanded",""
"WJR19Lr9JrLM","25","male","righthanded",""
"ZaT1oeiHo0bx","51","male","lefthanded",""
"Nzhn3Bd8nkQj","32","male","righthanded",""
"wKvuCaMOz6cT","35","female","righthanded","no"
"0HFp4ddoSz0v","38","female","lefthanded",""
"KNPLUJWiCSHe","31","female","lefthanded",""
"3b4mNiF3EhlS","30","female","lefthanded",""
"O6IOgE1bnG77","52","female","righthanded",""
"hFJFRrgajr8A","31","female","righthanded",""
"48ewhzNHhwfU","54","male","righthanded",""
"JlJlImC3cuPM","33","female","righthanded","Thuis was fun and interesting"
"9SwGlhXgsUEz","30","female","righthanded",""
"UhNK13loeadu","27","female","lefthanded",""
"AB6HEPVTcX54","42","female","righthanded","i enjoyed taking part "
"oRCfsawBebLe","25","female","righthanded",""
"gj3Cfk25dsJG","29","male","lefthanded",""
"iGsUnkhKdduN","21","female","lefthanded","I clicked wrong answers due to time pressure sometimes"
"oFHz1BdMfUQi","32","female","righthanded",""
"GTS9BUxsMeLZ","21","female","righthanded","no"
"0owQn5O0pcKx","33","female","righthanded",""
"mCOhr5gpcWR1","54","male","righthanded",""
"0gSdOx4uebsI","24","male","righthanded",""
"rZBa54hHRWCs","44","female","righthanded","I think I pressed the wrong one sometimes My brain hand coordination got tired"
"qk37sHsCzmRU","28","female","righthanded",""
"X0BheNoXLT7j","41","female","righthanded",""
"vAEhrHhysrwb","43","female","righthanded",""
"Xw3RLifXgsyG","41","female","righthanded",""
"P1zzkvdeOkVb","28","female","righthanded",""
"tXi7BGr2AoVv","48","female","righthanded",""
"986QcKjZa6bi","32","female","righthanded",""
"lHcwFOJKSsLt","69","male","righthanded","no"
"It5PxgiNgwsj","32","male","righthanded",""
"lMaq3RnthTJQ","23","female","ambidextrous",""
"zoLrfQ0axLMu","60","male","righthanded",""
"xiBSLB1XrmPa","27","female","righthanded",""
"TenFZsA7mJIz","25","male","righthanded","It would be better to progress to the next screen with a clickable button instead of any key as I accidentally pressed a key and missed a screen"
"MYBwOBUXRBGS","26","male","lefthanded",""
"xYm8OeSOgFPi","22","male","righthanded","non"
"aphnt5NN2jmk","54","male","righthanded",""
"W5TgaSpJtDlD","23","male","righthanded",""
"vadDSlTJs5u2","30","male","righthanded","None at all"
"QQxYrACXV9t4","20","male","righthanded",""
"VT7dWEXyY3wT","44","male","righthanded",""
"A134woB6oLXY","46","male","righthanded",""
"Uda1ycxBeeGo","31","female","righthanded",""
"cQoMU7uQIWik","31","male","righthanded",""
"o8KjUJ0RQvhU","30","male","righthanded",""
"TUmC0j1I7Ul3","49","male","ambidextrous",""
"7l3vIAtbXE6c","54","male","righthanded",""
"F06ey0tNnCVN","62","female","righthanded",""
"AtvwkmKzCkC5","28","male","lefthanded",""
"BrAaq3lgWqKQ","37","male","righthanded","I made mistakes with some decisions"
"ARCmYtb4fqJf","51","male","righthanded",""
"5DBj0vvmBqzp","23","male","righthanded","no"
"Jf9I1puUW8v4","34","male","righthanded","none"
"3yB9BNsUdU4V","36","male","righthanded",""
"wEFyGX42tDaJ","37","male","righthanded",""
"ycFbXP6YqcA3","42","female","lefthanded",""
"P4iNtwygqo59","38","male","righthanded","No thank you"
"H3liJsbRXxXT","19","male","righthanded",""
"MyKMtK2i9iNd","56","female","righthanded",""
"cGiYyEQAkpZx","53","male","righthanded",""
"kN7Ics2xW7xN","29","female","righthanded",""
"CaoINSTh5LYk","41","female","righthanded","no"
"W8alBsSKBLRs","45","female","righthanded",""
"Z0771ePIwnh9","60","female","righthanded",""
"gDjFjo9MQLd0","27","male","righthanded",""
