"run_id","PROLIFIC_PID","rule","text","purpose","condition","congruency","block","rt","response_num"
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","B1","4038",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","B1","4039",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","B1","3444",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","B1","2584",0
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","B1","4480",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","B1","2222",0
1,"5d88db42c1d06e001a1fdcab","cars",0,1,"Control","Control","B1","2958",0
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","B1","2245",1
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","B1","5321",1
1,"5d88db42c1d06e001a1fdcab","cars",0,0,"Control","Control","B1","1690",0
1,"5d88db42c1d06e001a1fdcab","cars",1,1,"Control","Control","B1","2466",1
1,"5d88db42c1d06e001a1fdcab","cars",1,0,"Control","Control","B1","2842",1
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","B1","2899",1
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","B1","2686",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","B1","3887",1
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","B1","2271",0
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","B1","1868",0
1,"5d88db42c1d06e001a1fdcab","phones",0,1,"Control","Control","B1","2264",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","B1","1542",0
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","B1","1597",1
1,"5d88db42c1d06e001a1fdcab","phones",0,0,"Control","Control","B1","1577",0
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","B1","2243",0
1,"5d88db42c1d06e001a1fdcab","phones",1,1,"Control","Control","B1","1766",1
1,"5d88db42c1d06e001a1fdcab","phones",1,0,"Control","Control","B1","1528",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","B2","4416",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","B2","3994",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","B2","3480",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,1,"Control","Control","B2","2751",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","B2","2061",1
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","B2","2388",1
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","B2","2497",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","B2","3053",0
1,"5d88db42c1d06e001a1fdcab","sleeping",0,0,"Control","Control","B2","1866",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,0,"Control","Control","B2","2115",1
1,"5d88db42c1d06e001a1fdcab","sleeping",0,1,"Control","Control","B2","2911",0
1,"5d88db42c1d06e001a1fdcab","sleeping",1,1,"Control","Control","B2","2922",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","B2","2414",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","B2","3594",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","B2","1879",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","B2","2211",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","B2","2738",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","B2","1378",1
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","B2","1668",0
1,"5d88db42c1d06e001a1fdcab","dogs",0,0,"Control","Control","B2","1345",0
1,"5d88db42c1d06e001a1fdcab","dogs",0,1,"Control","Control","B2","978",0
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","B2","1871",1
1,"5d88db42c1d06e001a1fdcab","dogs",1,1,"Control","Control","B2","2751",1
1,"5d88db42c1d06e001a1fdcab","dogs",1,0,"Control","Control","B2","2294",1
100,"62850d0754941f925e1af397","dogs",0,1,"Control","Control","B1","4611",1
100,"62850d0754941f925e1af397","dogs",1,0,"Control","Control","B1","3874",0
100,"62850d0754941f925e1af397","dogs",0,1,"Control","Control","B1","2493",1
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","B1","5526",0
100,"62850d0754941f925e1af397","dogs",1,1,"Control","Control","B1","4777",1
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","B1","3131",0
100,"62850d0754941f925e1af397","dogs",1,1,"Control","Control","B1","1929",1
100,"62850d0754941f925e1af397","dogs",1,0,"Control","Control","B1","1812",0
100,"62850d0754941f925e1af397","dogs",0,0,"Control","Control","B1","2912",0
