,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.4242920152117513,0.022563870054392043,3.3837689993396256,3.4080322256204254,3.424010156560925,3.4388442539066975,3.470880224754391,0.0007491712727412108
v(full violation),0.9897335950093858,0.021344788353951902,0.9500833993099709,0.9755904826533277,0.9893863802854553,1.0044933299893584,1.0311335533120118,0.0007328070797797811
v(no violation),-1.0546886912110462,0.022208970546532904,-1.0984292748126065,-1.0692622399235776,-1.0540661897110006,-1.0397886005788313,-1.0102062722661005,0.0007129133364533382
v(purpose violation),-0.5241850126860054,0.0204438312736129,-0.5656806456261526,-0.5384158781423163,-0.5246857742575216,-0.5105966303672229,-0.48319366635708266,0.0006581109782362547
v(text violation),0.21364789558201736,0.018227265257127458,0.17975917924467633,0.2011143899167901,0.21379837757658116,0.22583871267516306,0.24919904793582037,0.0005834584461854078
t(full violation),0.6579498575738196,0.014118644375201533,0.6295047567286257,0.6484435530071192,0.6579663231861075,0.6673979855098523,0.6851575324146557,0.0005377604318557272
t(no violation),0.6600603223827605,0.01735348455113049,0.628072247768873,0.6485574036661783,0.6599098789334141,0.6709901578324506,0.6969585161030099,0.0006099083106818816
t(purpose violation),0.6897082060179582,0.017297810368085455,0.6571176800295233,0.678364571399875,0.6890095240060422,0.700689617833142,0.7269650586313803,0.0006046352992260934
t(text violation),0.8376801946927385,0.022989292400611074,0.7926227444205716,0.8223489934116889,0.837475721820911,0.8536656633139736,0.8815578831050643,0.000775270129800485
z(full violation),0.43268885021589,0.009084885016968301,0.41509118568924924,0.42671162964790454,0.4330812293809614,0.4388708585374961,0.4498895294927449,0.0003547730096291151
z(no violation),0.58182216320511,0.009701602059634292,0.5623233230034352,0.57508794767729,0.5817454074235465,0.5885253622136988,0.6009489708446032,0.00035779803899616794
z(purpose violation),0.5724147596908764,0.008104272181315807,0.5557143787141159,0.5671242793981699,0.572505995386319,0.5781726346503796,0.5879598869977387,0.00027995355775838906
z(text violation),0.5191798092854284,0.008655847303796219,0.5018974249482764,0.5137661638704947,0.5193611479142648,0.524980015617165,0.5356654414528631,0.00031491985113877316
