,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(full violation),3.34325376343534,0.056840875197799866,3.2367630834045036,3.304382025013653,3.340989755306438,3.37976485690781,3.465546702789156,0.0019165262477813013
a(no violation),3.343702006998914,0.0619547325039474,3.2314054708904285,3.3023438915921397,3.339310585628424,3.3844391487940744,3.4712813057925165,0.0020212049176240596
a(purpose violation),2.940513623335356,0.03023384658816777,2.880044624011157,2.9206286752851667,2.939965954050671,2.9614489274325915,2.995948809379667,0.0009294289625119788
a(text violation),3.10054613011477,0.03378251161493797,3.0307673064167178,3.0773190564445083,3.099938695405651,3.123715130696033,3.169047281534073,0.0011653741425816603
v,-0.08151370955498445,0.009231128618516537,-0.09954970028691351,-0.08791539533800724,-0.08151528151534077,-0.07549416176215634,-0.06364320621347686,0.0003017973209069879
t(full violation),1.0903204949747225,0.005745479865270172,1.0793316249124918,1.0865565975916642,1.0904282388255206,1.0940423941298856,1.1019785961865356,0.00018148334446935001
t(no violation),0.9960508377399585,0.009014138889395831,0.9784799150725643,0.9897157868592552,0.9962974603752525,1.002511640329298,1.0125176906367783,0.00028795012418903143
t(purpose violation),0.916796633998488,0.014281815516913206,0.8912037305090794,0.9066731648427734,0.9163835062604383,0.9259351480736993,0.9465561465759426,0.0004433286124464978
t(text violation),1.0486611492649487,0.025559318156225426,1.001743812210706,1.0310059225712516,1.0474555606065574,1.0671664984874043,1.0993910407427656,0.000890197530620365
z(full violation),0.7496409392330174,0.005603160928053641,0.7390601140941481,0.7457900301721825,0.7497142766384618,0.7533354212861783,0.7607959993772022,0.00019058796656066227
z(no violation),0.2839677221476253,0.006909263636290688,0.2708664180024891,0.2791853410996172,0.28410622476443126,0.2886937000500992,0.29689650923307936,0.00023109579040242397
z(purpose violation),0.4458834835974815,0.006539539506814041,0.433218996372526,0.441509270295809,0.4459976828608685,0.45065954448940787,0.4581425295494633,0.00019921187777842864
z(text violation),0.6054061535968078,0.006386780449241486,0.5930927273151806,0.6012131130948999,0.6056925917198618,0.6098281969530208,0.6177168836450893,0.00020320264451048715
