,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(full violation),6.926737019743142,0.293764980476603,6.42392948759377,6.722483788291396,6.9092209010296814,7.103137539397895,7.6112332595419705,0.023631039371527003
a(no violation),4.941889759187724,0.3248132756407281,4.43119606197152,4.695655820124195,4.888442835913466,5.169954088593496,5.667951558058218,0.029414713531407725
a(purpose violation),3.072836867807937,0.0337280805109596,3.0065333242325383,3.0493009938049647,3.0724846103574723,3.0970320626494066,3.1372966873264296,0.0010252219663074117
a(text violation),3.1369489231885046,0.03380728562004785,3.0731547037037705,3.1145548525813704,3.1367866987167283,3.1593615223946347,3.2047365689834937,0.0010411154389908506
v(full violation),1.3730908317870043,0.03241518063219889,1.3136204984743118,1.3508842944083845,1.3723307289410587,1.3944893805258987,1.4428127019481922,0.0022432272107823052
v(no violation),-1.272471970501465,0.052637863040776355,-1.38505708875428,-1.310544802591988,-1.266004949828774,-1.2341942612750467,-1.181114595312673,0.004555066636373196
v(purpose violation),-0.45327571360651425,0.018487719768869582,-0.49074996066620513,-0.46520251913917304,-0.4534877860981723,-0.44070293392332727,-0.4175276965731099,0.0007891465681247164
v(text violation),0.168732467721613,0.01652908226375687,0.13606969976614444,0.15833792798532303,0.1688005495980746,0.17966491780699184,0.20177528869697847,0.0007151422375962465
t(full violation),0.2093065799221252,0.04993790535912234,0.0995287849502445,0.17593548476851728,0.2110803253690714,0.24296446940814428,0.3029998220108187,0.0039055236011827526
t(no violation),0.38922978121670393,0.05884345572995355,0.2570824375436239,0.3483162111279689,0.39729032548748516,0.4345117759303317,0.48831433735031,0.005150428070220295
t(purpose violation),0.8362912220519418,0.02166689863289645,0.7952372098017702,0.8217599061606602,0.8364689850800501,0.8523282261875345,0.8765841829665457,0.0008373400361707721
t(text violation),0.9643551565922465,0.022179237314231118,0.9227307700980276,0.9485525163524744,0.9655081058415869,0.9802155554254888,1.006635254513308,0.0007016656406658427
z,0.5435070745190196,0.0066651228058437016,0.5306533166966448,0.5391023573464676,0.5434532813058736,0.5481164527810727,0.5565097289837803,0.00038273649178730245
