,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(full violation),4.608302162762992,0.16086590617495455,4.312569673085931,4.491415828041769,4.604394699940253,4.718108953321598,4.938375327121474,0.01193382703878925
a(no violation),4.530511485597459,0.12696664796136733,4.271945929461774,4.448637760232833,4.528541608247313,4.6172010378218316,4.772686523701681,0.00861822303487068
a(purpose violation),3.0868015758545226,0.037570540306413935,3.0118264791877194,3.0626911573142435,3.086956341847054,3.110629632382829,3.162326155743465,0.0011722631323835791
a(text violation),3.13543912949228,0.033362965574765445,3.071987312021352,3.112843334910032,3.136068694917167,3.157504217610735,3.2015832799574477,0.001096361096699755
v(full violation),1.2594596955768442,0.03725313046549277,1.1892801499529984,1.233539161649862,1.2593562171697315,1.2846124904297374,1.3357313011944725,0.0025032313381410133
v(no violation),-1.2960564116147324,0.0346175130464411,-1.3630075371189132,-1.319545330530917,-1.2965034853770396,-1.2729376766058602,-1.227698471581476,0.002222063622789994
v(purpose violation),-0.46961094490371313,0.020201998260834228,-0.5094235703035999,-0.4824801625879186,-0.46911953614431195,-0.456659379138005,-0.4317804418836857,0.0006332689127069763
v(text violation),0.20144329634313857,0.018138407023170388,0.1663246674909084,0.18938310320470303,0.20175869652554201,0.2129501000012068,0.23644947739466693,0.0005647233758518776
t(full violation),0.3492839315641379,0.04894206970342228,0.2545902607913583,0.31501485521587447,0.3514715555255177,0.38439940912184334,0.43792047711935705,0.0036115832583643467
t(no violation),0.3518111888188831,0.03995076727897607,0.2781990366679533,0.32350193808889294,0.351939632443862,0.3781473395993009,0.4316039257977747,0.0026961840080475855
t(purpose violation),0.8235987342489175,0.024035425489933152,0.7731049209160736,0.8077648694218217,0.8251772406042508,0.8394023386859945,0.8684989910450113,0.000687912769079545
t(text violation),0.9491519191150262,0.023242915456112657,0.9019943105121396,0.9338878170116031,0.9492745940380751,0.9655812993702808,0.9925207806128235,0.0006959822828728485
z(full violation),0.39724696837879286,0.013986427469259686,0.3692535039779836,0.38795139884217633,0.3971508996625713,0.4070811465369997,0.42422921446606604,0.0007564225907271288
z(no violation),0.6171447880337865,0.013342861600922509,0.5912371165542407,0.6080896835053214,0.6174833893601394,0.6266235500473798,0.6430013757002091,0.0007495698801805857
z(purpose violation),0.5540860994259594,0.008985054512217901,0.536211078116392,0.5482551383632833,0.5540491464473142,0.5599204861936952,0.5721702710095488,0.00028527439429852934
z(text violation),0.5200850501641286,0.008168125665797991,0.5042968580903641,0.5146760706621323,0.519857285575274,0.5259068445505436,0.5358400939865835,0.00026607685417036277
