"subj_code","age","gender","handedness","comments"
"NJTKV6968E","22","female","righthanded",NA
"KBQKF1538T","19","male","righthanded",""
"HKNLT7750V","22","male","righthanded","no"
"GEWKE7318K","26","female","righthanded",""
"USZTE1888X","26","female",NA,NA
"XSXMF1834I","27","female","lefthanded",NA
"HGZFU1185Y","23","female",NA,NA
"MKEQU8689A","39",NA,NA,NA
"FRCIU7506M","36","female","righthanded",""
"CXJHP3234T","39","female","righthanded","it was interesting how you might think there are exceptions to the rules eg no dogs except guide dogs"
"VQBTW7838X","35","male","lefthanded",NA
"JUUUS2628V","33","female","righthanded",""
"OWKMC3711U","48","female",NA,NA
"TPGTM8475F","56 ","female","righthanded",""
"BRSBG9368S","35","female","righthanded",NA
"YRHNU7336Y","55","male","righthanded",""
"TAVBF1540G","23","male","righthanded",""
"MHJQA6427L","56","female","righthanded",""
"NPQVC5284E","21","female","righthanded","its well made"
"CVHWV7750D","50","male","righthanded",""
"USKYY0770X","27","female",NA,NA
"LSNUG4612T","63","male","righthanded",""
"XZXCV0824B","21","female","righthanded",NA
"QBGLK1271E","20","male","righthanded",""
"SNYOV2115X","27",NA,NA,NA
"YEPGC3922Y","23","female","righthanded",""
"IXZBT2450F","22",NA,NA,NA
"VWVXE4475K","18","male","righthanded",NA
"LWURV3505E","31","female","righthanded","NA"
"GTMHG7316U","25","nonbinary","righthanded",""
"YAAGN3705A","34","female",NA,NA
"GKMJT3013J","44","male","righthanded",NA
"CGRON0325B","31","female","righthanded",""
"LEVEN6928P","21",NA,NA,NA
"ZXRVB5144P","25","male",NA,NA
"DZZYN3307P","20","female",NA,NA
"UPCJY1889O","39","female","righthanded",""
"FALKB7301L","36","male","righthanded",""
"IKOBB4372I","27",NA,NA,NA
"MNPWR7646U","24","female","righthanded",NA
"BTOSG3914G","28","female","righthanded",""
"ZLQRV8023A","39","female",NA,NA
"QVTWL7578Q","21","female","righthanded",""
"PLTQN0483L","49","female",NA,NA
"CWNKW6402U","22","male",NA,NA
"VUCKB2670O","38","female","righthanded",""
"YZMFL2582X","27",NA,NA,NA
"AATYL3173V","32","male","righthanded",""
"UOXXT6221I","31","male","righthanded",""
"SNSEH5302Z","38","female","righthanded",""
"AKYDY6931Z","25","male","righthanded",""
"FBFOK2749A","42","male","righthanded",""
"TAZHL1459D","29","male","righthanded",NA
"BTJCR4033F","68","male","ambidextrous","none"
"UTHZS8867B","20","male","righthanded",""
"DPBXF9649V","28","male","righthanded",""
"BIWYG9846G","71","female","righthanded",""
"MPNXC0975H","49","male","righthanded",""
"NNAHM9265G","45","male",NA,NA
"CSUQO3494W","28","female","righthanded",""
"NXEST7119I","54","male",NA,NA
"GVJEQ7040A","71","female","righthanded",NA
"KWFMO1649Q","74","male","righthanded",""
"QJVAU0194F","29","male","righthanded",""
"OSIXQ1595Q","52","male","righthanded",NA
"SOBFG7425W","26","female","righthanded",""
"NRPEO6048G","45","male","righthanded",""
"FFQQP3872X","22","female","righthanded",""
"VDCLY2673Y","20","male","righthanded",""
"VLRAZ0596Z","30","female","righthanded",""
"BJGDK0029P","55","female","righthanded",NA
"IQEVS9276D","23","male","ambidextrous",""
"UILSG2021P","28",NA,NA,NA
"OGMVR1988Q","36","female","righthanded",NA
"CBLQV0749L","26","female",NA,NA
"LCNZA8914D","32","female",NA,NA
"LGALV5640J","65","female","righthanded",NA
"ANSKH9799C","53","male","righthanded",""
"CYJMV8762Q","50","female","righthanded",""
"CTMCN2182L","22","male","righthanded",""
"MYNUH9908E","36","male","righthanded",""
"XPQZM2088B","33","female","righthanded",""
"UEHBC2370Z","37","female","lefthanded",""
"UNDUQ6023M","20","male","righthanded","thanks for the opportunity"
"WMQPW0650M","26","female","righthanded",""
"SHYCY4956G","40","female","righthanded",NA
"NFQKF4511L","25",NA,NA,NA
"VVNRN8946K","62","female","righthanded",NA
"PGMBY6356V","38","male","lefthanded","May have messed up the first few questions but focused thereon after"
"AOBDP7961O","24","male","righthanded",""
"MSKSQ8178D","47","male","righthanded","not at this time"
"KSQQW5591W","32","female","ambidextrous",""
"UQZRT4866X","62",NA,NA,NA
"QXOGK8979R","62","female",NA,NA
"QCZPF1802G","27","male","righthanded",NA
"OLPEN8433O","69","male","righthanded",""
"TLIGY7866R","45","male","lefthanded",""
"VAYFQ1775E","31",NA,NA,NA
"EVIAJ9477Z","35","male","righthanded",""
"DMHHU6177M","58","female",NA,NA
"LLXUP2777D","42","male",NA,NA
"RJHWS1696M","31","female","righthanded",""
"XJTZG3117X","35","female","righthanded",""
"HSMTL5960L","34","male","righthanded","no"
"JLYMB3461T","24","female","righthanded",""
"EDGUT3186N","28","female","righthanded",""
"XCQAX1703U","33","male","righthanded",NA
"KBFGY4159R","55","female","righthanded",NA
"YMHOU0802X","22","female","righthanded","no"
"VLFVQ5336J","32","female",NA,NA
"QYTVT4216I","22","male","righthanded",NA
"RCHUI9574X","50","female",NA,NA
"PDYPS4165B","21",NA,NA,NA
"OWUXK1008I","29","male","righthanded",""
"HTZMU9021U","44","female","righthanded",""
